candidate_id,pair_id,direction,content_index,content_identifier,shape_class_id,shape_class_name,style_index,style_identifier,texture_class_id,texture_class_name,style_strength,image_path,accepted,rejection_reason
cc_000,0,airplane_to_bird,5918,test_05918,0,airplane,5560,test_05560,1,bird,0.8,task1/generated_images/cue_conflicts/cc_000_shape-airplane_texture-bird.png,True,
cc_001,0,airplane_to_bird,2750,test_02750,0,airplane,5092,test_05092,1,bird,0.8,task1/generated_images/cue_conflicts/cc_001_shape-airplane_texture-bird.png,True,
cc_002,0,airplane_to_bird,3025,test_03025,0,airplane,4298,test_04298,1,bird,0.8,task1/generated_images/cue_conflicts/cc_002_shape-airplane_texture-bird.png,True,
cc_003,0,airplane_to_bird,7320,test_07320,0,airplane,2116,test_02116,1,bird,0.8,task1/generated_images/cue_conflicts/cc_003_shape-airplane_texture-bird.png,True,
cc_004,0,airplane_to_bird,6609,test_06609,0,airplane,1993,test_01993,1,bird,0.8,task1/generated_images/cue_conflicts/cc_004_shape-airplane_texture-bird.png,True,
cc_005,0,airplane_to_bird,4615,test_04615,0,airplane,261,test_00261,1,bird,0.8,task1/generated_images/cue_conflicts/cc_005_shape-airplane_texture-bird.png,True,
cc_006,0,airplane_to_bird,5912,test_05912,0,airplane,1090,test_01090,1,bird,0.8,task1/generated_images/cue_conflicts/cc_006_shape-airplane_texture-bird.png,True,
cc_007,0,airplane_to_bird,1596,test_01596,0,airplane,1115,test_01115,1,bird,0.8,task1/generated_images/cue_conflicts/cc_007_shape-airplane_texture-bird.png,True,
cc_008,0,airplane_to_bird,3347,test_03347,0,airplane,1230,test_01230,1,bird,0.8,task1/generated_images/cue_conflicts/cc_008_shape-airplane_texture-bird.png,True,
cc_009,0,airplane_to_bird,7634,test_07634,0,airplane,7202,test_07202,1,bird,0.8,task1/generated_images/cue_conflicts/cc_009_shape-airplane_texture-bird.png,True,
cc_010,0,airplane_to_bird,5117,test_05117,0,airplane,5220,test_05220,1,bird,0.8,task1/generated_images/cue_conflicts/cc_010_shape-airplane_texture-bird.png,True,
cc_011,0,airplane_to_bird,484,test_00484,0,airplane,1436,test_01436,1,bird,0.8,task1/generated_images/cue_conflicts/cc_011_shape-airplane_texture-bird.png,True,
cc_012,0,airplane_to_bird,4785,test_04785,0,airplane,3413,test_03413,1,bird,0.8,task1/generated_images/cue_conflicts/cc_012_shape-airplane_texture-bird.png,True,
cc_013,0,airplane_to_bird,7009,test_07009,0,airplane,5488,test_05488,1,bird,0.8,task1/generated_images/cue_conflicts/cc_013_shape-airplane_texture-bird.png,True,
cc_014,0,airplane_to_bird,1648,test_01648,0,airplane,6169,test_06169,1,bird,0.8,task1/generated_images/cue_conflicts/cc_014_shape-airplane_texture-bird.png,True,
cc_015,0,airplane_to_bird,81,test_00081,0,airplane,6349,test_06349,1,bird,0.8,task1/generated_images/cue_conflicts/cc_015_shape-airplane_texture-bird.png,True,
cc_016,0,airplane_to_bird,4675,test_04675,0,airplane,2687,test_02687,1,bird,0.8,task1/generated_images/cue_conflicts/cc_016_shape-airplane_texture-bird.png,True,
cc_017,0,airplane_to_bird,3,test_00003,0,airplane,3550,test_03550,1,bird,0.8,task1/generated_images/cue_conflicts/cc_017_shape-airplane_texture-bird.png,True,
cc_018,0,airplane_to_bird,5999,test_05999,0,airplane,116,test_00116,1,bird,0.8,task1/generated_images/cue_conflicts/cc_018_shape-airplane_texture-bird.png,True,
cc_019,0,airplane_to_bird,7465,test_07465,0,airplane,1852,test_01852,1,bird,0.8,task1/generated_images/cue_conflicts/cc_019_shape-airplane_texture-bird.png,True,
cc_020,0,airplane_to_bird,4130,test_04130,0,airplane,1871,test_01871,1,bird,0.8,task1/generated_images/cue_conflicts/cc_020_shape-airplane_texture-bird.png,True,
cc_021,0,airplane_to_bird,4819,test_04819,0,airplane,7955,test_07955,1,bird,0.8,task1/generated_images/cue_conflicts/cc_021_shape-airplane_texture-bird.png,True,
cc_022,0,airplane_to_bird,3965,test_03965,0,airplane,1109,test_01109,1,bird,0.8,task1/generated_images/cue_conflicts/cc_022_shape-airplane_texture-bird.png,True,
cc_023,0,airplane_to_bird,562,test_00562,0,airplane,6836,test_06836,1,bird,0.8,task1/generated_images/cue_conflicts/cc_023_shape-airplane_texture-bird.png,True,
cc_024,0,airplane_to_bird,4893,test_04893,0,airplane,825,test_00825,1,bird,0.8,task1/generated_images/cue_conflicts/cc_024_shape-airplane_texture-bird.png,True,
cc_025,0,airplane_to_bird,1553,test_01553,0,airplane,3491,test_03491,1,bird,0.8,task1/generated_images/cue_conflicts/cc_025_shape-airplane_texture-bird.png,True,
cc_026,0,airplane_to_bird,1175,test_01175,0,airplane,7033,test_07033,1,bird,0.8,task1/generated_images/cue_conflicts/cc_026_shape-airplane_texture-bird.png,True,
cc_027,0,airplane_to_bird,3876,test_03876,0,airplane,304,test_00304,1,bird,0.8,task1/generated_images/cue_conflicts/cc_027_shape-airplane_texture-bird.png,True,
cc_028,0,airplane_to_bird,2888,test_02888,0,airplane,1986,test_01986,1,bird,0.8,task1/generated_images/cue_conflicts/cc_028_shape-airplane_texture-bird.png,True,
cc_029,0,airplane_to_bird,5478,test_05478,0,airplane,5123,test_05123,1,bird,0.8,task1/generated_images/cue_conflicts/cc_029_shape-airplane_texture-bird.png,True,
cc_030,0,bird_to_airplane,2178,test_02178,1,bird,5912,test_05912,0,airplane,0.8,task1/generated_images/cue_conflicts/cc_030_shape-bird_texture-airplane.png,True,
