model_name,condition,identifier,class_id,class_name,cosine_similarity
clip_vit_b_32_linear,cue_conflict,cc_000,0,airplane,0.6194493
clip_vit_b_32_linear,cue_conflict,cc_001,0,airplane,0.59657305
clip_vit_b_32_linear,cue_conflict,cc_002,0,airplane,0.8092472
clip_vit_b_32_linear,cue_conflict,cc_003,0,airplane,0.80328256
clip_vit_b_32_linear,cue_conflict,cc_004,0,airplane,0.6740125
clip_vit_b_32_linear,cue_conflict,cc_005,0,airplane,0.80999714
clip_vit_b_32_linear,cue_conflict,cc_006,0,airplane,0.6830672
clip_vit_b_32_linear,cue_conflict,cc_007,0,airplane,0.5466866
clip_vit_b_32_linear,cue_conflict,cc_008,0,airplane,0.6662734
clip_vit_b_32_linear,cue_conflict,cc_009,0,airplane,0.71667516
clip_vit_b_32_linear,cue_conflict,cc_010,0,airplane,0.8257187
clip_vit_b_32_linear,cue_conflict,cc_011,0,airplane,0.5603673
clip_vit_b_32_linear,cue_conflict,cc_012,0,airplane,0.7709746
clip_vit_b_32_linear,cue_conflict,cc_013,0,airplane,0.64185786
clip_vit_b_32_linear,cue_conflict,cc_014,0,airplane,0.8100676
clip_vit_b_32_linear,cue_conflict,cc_015,0,airplane,0.80029035
clip_vit_b_32_linear,cue_conflict,cc_016,0,airplane,0.75788885
clip_vit_b_32_linear,cue_conflict,cc_017,0,airplane,0.6694465
clip_vit_b_32_linear,cue_conflict,cc_018,0,airplane,0.6940945
clip_vit_b_32_linear,cue_conflict,cc_019,0,airplane,0.72910714
clip_vit_b_32_linear,cue_conflict,cc_020,0,airplane,0.675948
clip_vit_b_32_linear,cue_conflict,cc_021,0,airplane,0.63683546
clip_vit_b_32_linear,cue_conflict,cc_022,0,airplane,0.8380601
clip_vit_b_32_linear,cue_conflict,cc_023,0,airplane,0.716027
clip_vit_b_32_linear,cue_conflict,cc_024,0,airplane,0.69405144
clip_vit_b_32_linear,cue_conflict,cc_025,0,airplane,0.5509575
clip_vit_b_32_linear,cue_conflict,cc_026,0,airplane,0.63696617
clip_vit_b_32_linear,cue_conflict,cc_027,0,airplane,0.79305804
clip_vit_b_32_linear,cue_conflict,cc_028,0,airplane,0.5431482
clip_vit_b_32_linear,cue_conflict,cc_029,0,airplane,0.76207733
clip_vit_b_32_linear,cue_conflict,cc_030,1,bird,0.84796965
clip_vit_b_32_linear,cue_conflict,cc_031,1,bird,0.8600944
clip_vit_b_32_linear,cue_conflict,cc_032,1,bird,0.7309619
clip_vit_b_32_linear,cue_conflict,cc_033,1,bird,0.6907951
clip_vit_b_32_linear,cue_conflict,cc_034,1,bird,0.79235893
clip_vit_b_32_linear,cue_conflict,cc_035,1,bird,0.7911854
clip_vit_b_32_linear,cue_conflict,cc_036,1,bird,0.7483536
clip_vit_b_32_linear,cue_conflict,cc_038,1,bird,0.72019875
clip_vit_b_32_linear,cue_conflict,cc_039,1,bird,0.7411358
clip_vit_b_32_linear,cue_conflict,cc_040,1,bird,0.77978384
clip_vit_b_32_linear,cue_conflict,cc_041,1,bird,0.86029416
clip_vit_b_32_linear,cue_conflict,cc_042,1,bird,0.82231176
clip_vit_b_32_linear,cue_conflict,cc_043,1,bird,0.90154576
clip_vit_b_32_linear,cue_conflict,cc_044,1,bird,0.7744843
clip_vit_b_32_linear,cue_conflict,cc_045,1,bird,0.8786332
clip_vit_b_32_linear,cue_conflict,cc_046,1,bird,0.7237377
clip_vit_b_32_linear,cue_conflict,cc_047,1,bird,0.7292659
clip_vit_b_32_linear,cue_conflict,cc_049,1,bird,0.7883684
clip_vit_b_32_linear,cue_conflict,cc_050,1,bird,0.77247816
clip_vit_b_32_linear,cue_conflict,cc_051,1,bird,0.7102667
clip_vit_b_32_linear,cue_conflict,cc_052,1,bird,0.8136408
clip_vit_b_32_linear,cue_conflict,cc_053,1,bird,0.59990674
clip_vit_b_32_linear,cue_conflict,cc_054,1,bird,0.6030227
clip_vit_b_32_linear,cue_conflict,cc_056,1,bird,0.6535882
clip_vit_b_32_linear,cue_conflict,cc_057,1,bird,0.7659779
clip_vit_b_32_linear,cue_conflict,cc_059,1,bird,0.69413894
clip_vit_b_32_linear,cue_conflict,cc_060,2,car,0.89878416
clip_vit_b_32_linear,cue_conflict,cc_061,2,car,0.83071536
clip_vit_b_32_linear,cue_conflict,cc_062,2,car,0.8297921
clip_vit_b_32_linear,cue_conflict,cc_063,2,car,0.83133644
clip_vit_b_32_linear,cue_conflict,cc_064,2,car,0.8011543
clip_vit_b_32_linear,cue_conflict,cc_065,2,car,0.60947126
clip_vit_b_32_linear,cue_conflict,cc_066,2,car,0.81558543
