model_name,condition,identifier,class_id,class_name,cosine_similarity
clip_vit_b_32_linear,grayscale,test_00632,3,cat,0.8990359
clip_vit_b_32_linear,grayscale,test_00131,9,truck,0.82595015
clip_vit_b_32_linear,grayscale,test_07081,7,monkey,0.8851665
clip_vit_b_32_linear,grayscale,test_01836,9,truck,0.90910107
clip_vit_b_32_linear,grayscale,test_06437,0,airplane,0.9085505
clip_vit_b_32_linear,grayscale,test_06609,0,airplane,0.92127126
clip_vit_b_32_linear,grayscale,test_03467,7,monkey,0.85402405
clip_vit_b_32_linear,grayscale,test_01401,3,cat,0.914905
clip_vit_b_32_linear,grayscale,test_01839,2,car,0.9336505
clip_vit_b_32_linear,grayscale,test_04168,3,cat,0.88884926
clip_vit_b_32_linear,grayscale,test_00035,2,car,0.83179986
clip_vit_b_32_linear,grayscale,test_04177,8,ship,0.9225391
clip_vit_b_32_linear,grayscale,test_07270,7,monkey,0.89402366
clip_vit_b_32_linear,grayscale,test_02265,5,dog,0.89806265
clip_vit_b_32_linear,grayscale,test_03288,7,monkey,0.8783011
clip_vit_b_32_linear,grayscale,test_05451,8,ship,0.8230839
clip_vit_b_32_linear,grayscale,test_04023,3,cat,0.9000383
clip_vit_b_32_linear,grayscale,test_00261,1,bird,0.88788897
clip_vit_b_32_linear,grayscale,test_04570,5,dog,0.8784118
clip_vit_b_32_linear,grayscale,test_04966,5,dog,0.84625477
clip_vit_b_32_linear,grayscale,test_07955,1,bird,0.8624178
clip_vit_b_32_linear,grayscale,test_06288,4,deer,0.9064405
clip_vit_b_32_linear,grayscale,test_07810,8,ship,0.82639337
clip_vit_b_32_linear,grayscale,test_01927,7,monkey,0.86094
clip_vit_b_32_linear,grayscale,test_01871,1,bird,0.84366894
clip_vit_b_32_linear,grayscale,test_06922,5,dog,0.8400974
clip_vit_b_32_linear,grayscale,test_03512,4,deer,0.9051496
clip_vit_b_32_linear,grayscale,test_04754,6,horse,0.9138373
clip_vit_b_32_linear,grayscale,test_00714,2,car,0.7648017
clip_vit_b_32_linear,grayscale,test_02191,8,ship,0.90370274
clip_vit_b_32_linear,grayscale,test_04615,0,airplane,0.88292176
clip_vit_b_32_linear,grayscale,test_04662,8,ship,0.93723357
clip_vit_b_32_linear,grayscale,test_05915,9,truck,0.75746256
clip_vit_b_32_linear,grayscale,test_00766,4,deer,0.8439793
clip_vit_b_32_linear,grayscale,test_05218,2,car,0.89488405
clip_vit_b_32_linear,grayscale,test_02340,8,ship,0.871296
clip_vit_b_32_linear,grayscale,test_01954,8,ship,0.85655826
clip_vit_b_32_linear,grayscale,test_07875,8,ship,0.8932718
clip_vit_b_32_linear,grayscale,test_03418,6,horse,0.9338412
clip_vit_b_32_linear,grayscale,test_05572,9,truck,0.8656265
clip_vit_b_32_linear,grayscale,test_05977,7,monkey,0.88994306
clip_vit_b_32_linear,grayscale,test_05123,1,bird,0.8578772
clip_vit_b_32_linear,grayscale,test_05851,9,truck,0.95733154
clip_vit_b_32_linear,grayscale,test_04094,9,truck,0.9024302
clip_vit_b_32_linear,grayscale,test_04254,6,horse,0.88442886
clip_vit_b_32_linear,grayscale,test_02501,7,monkey,0.90964943
clip_vit_b_32_linear,grayscale,test_06938,1,bird,0.8960643
clip_vit_b_32_linear,grayscale,test_00171,4,deer,0.9072818
clip_vit_b_32_linear,grayscale,test_04215,3,cat,0.7898087
clip_vit_b_32_linear,grayscale,test_05705,8,ship,0.9152936
clip_vit_b_32_linear,grayscale,test_03458,4,deer,0.9262785
clip_vit_b_32_linear,grayscale,test_01220,7,monkey,0.9070932
clip_vit_b_32_linear,grayscale,test_00962,8,ship,0.8036199
clip_vit_b_32_linear,grayscale,test_02950,5,dog,0.9308405
clip_vit_b_32_linear,grayscale,test_02623,5,dog,0.8664514
clip_vit_b_32_linear,grayscale,test_04539,0,airplane,0.9761795
clip_vit_b_32_linear,grayscale,test_01553,0,airplane,0.78492296
clip_vit_b_32_linear,grayscale,test_04740,4,deer,0.8966065
clip_vit_b_32_linear,grayscale,test_06844,0,airplane,0.86724484
clip_vit_b_32_linear,grayscale,test_02668,7,monkey,0.8920711
clip_vit_b_32_linear,grayscale,test_03153,7,monkey,0.88067687
clip_vit_b_32_linear,grayscale,test_05135,4,deer,0.8966375
clip_vit_b_32_linear,grayscale,test_02291,3,cat,0.77013034
clip_vit_b_32_linear,grayscale,test_00116,1,bird,0.91310346
clip_vit_b_32_linear,grayscale,test_07797,3,cat,0.87109435
clip_vit_b_32_linear,grayscale,test_04609,3,cat,0.84267455
clip_vit_b_32_linear,grayscale,test_00081,0,airplane,0.99999994
clip_vit_b_32_linear,grayscale,test_05580,6,horse,0.83990765
clip_vit_b_32_linear,grayscale,test_03024,2,car,0.9205475
clip_vit_b_32_linear,grayscale,test_02766,5,dog,0.9002107
clip_vit_b_32_linear,grayscale,test_05000,8,ship,0.95218766
clip_vit_b_32_linear,grayscale,test_02610,6,horse,0.8966886
clip_vit_b_32_linear,grayscale,test_02024,0,airplane,0.8630007
