model_name,condition,identifier,class_id,class_name,cosine_similarity
clip_vit_b_32_linear,patch_shuffle_4x4,test_00632,3,cat,0.822628
clip_vit_b_32_linear,patch_shuffle_4x4,test_00131,9,truck,0.74529624
clip_vit_b_32_linear,patch_shuffle_4x4,test_07081,7,monkey,0.73026335
clip_vit_b_32_linear,patch_shuffle_4x4,test_01836,9,truck,0.6877281
clip_vit_b_32_linear,patch_shuffle_4x4,test_06437,0,airplane,0.7418098
clip_vit_b_32_linear,patch_shuffle_4x4,test_06609,0,airplane,0.7804712
clip_vit_b_32_linear,patch_shuffle_4x4,test_03467,7,monkey,0.758751
clip_vit_b_32_linear,patch_shuffle_4x4,test_01401,3,cat,0.6812903
clip_vit_b_32_linear,patch_shuffle_4x4,test_01839,2,car,0.71935356
clip_vit_b_32_linear,patch_shuffle_4x4,test_04168,3,cat,0.8226346
clip_vit_b_32_linear,patch_shuffle_4x4,test_00035,2,car,0.7199693
clip_vit_b_32_linear,patch_shuffle_4x4,test_04177,8,ship,0.7311574
clip_vit_b_32_linear,patch_shuffle_4x4,test_07270,7,monkey,0.7234882
clip_vit_b_32_linear,patch_shuffle_4x4,test_02265,5,dog,0.75319713
clip_vit_b_32_linear,patch_shuffle_4x4,test_03288,7,monkey,0.79579526
clip_vit_b_32_linear,patch_shuffle_4x4,test_05451,8,ship,0.7665418
clip_vit_b_32_linear,patch_shuffle_4x4,test_04023,3,cat,0.8243402
clip_vit_b_32_linear,patch_shuffle_4x4,test_00261,1,bird,0.76817024
clip_vit_b_32_linear,patch_shuffle_4x4,test_04570,5,dog,0.7509813
clip_vit_b_32_linear,patch_shuffle_4x4,test_04966,5,dog,0.74246037
clip_vit_b_32_linear,patch_shuffle_4x4,test_07955,1,bird,0.68690217
clip_vit_b_32_linear,patch_shuffle_4x4,test_06288,4,deer,0.64097726
clip_vit_b_32_linear,patch_shuffle_4x4,test_07810,8,ship,0.78697
clip_vit_b_32_linear,patch_shuffle_4x4,test_01927,7,monkey,0.80671054
clip_vit_b_32_linear,patch_shuffle_4x4,test_01871,1,bird,0.8744597
clip_vit_b_32_linear,patch_shuffle_4x4,test_06922,5,dog,0.787768
clip_vit_b_32_linear,patch_shuffle_4x4,test_03512,4,deer,0.77361614
clip_vit_b_32_linear,patch_shuffle_4x4,test_04754,6,horse,0.8530213
clip_vit_b_32_linear,patch_shuffle_4x4,test_00714,2,car,0.70596606
clip_vit_b_32_linear,patch_shuffle_4x4,test_02191,8,ship,0.7086666
clip_vit_b_32_linear,patch_shuffle_4x4,test_04615,0,airplane,0.7976789
clip_vit_b_32_linear,patch_shuffle_4x4,test_04662,8,ship,0.7658772
clip_vit_b_32_linear,patch_shuffle_4x4,test_05915,9,truck,0.75602317
clip_vit_b_32_linear,patch_shuffle_4x4,test_00766,4,deer,0.77567846
clip_vit_b_32_linear,patch_shuffle_4x4,test_05218,2,car,0.8202217
clip_vit_b_32_linear,patch_shuffle_4x4,test_02340,8,ship,0.7262666
clip_vit_b_32_linear,patch_shuffle_4x4,test_01954,8,ship,0.69335216
clip_vit_b_32_linear,patch_shuffle_4x4,test_07875,8,ship,0.681229
clip_vit_b_32_linear,patch_shuffle_4x4,test_03418,6,horse,0.6796937
clip_vit_b_32_linear,patch_shuffle_4x4,test_05572,9,truck,0.7932612
clip_vit_b_32_linear,patch_shuffle_4x4,test_05977,7,monkey,0.79880434
clip_vit_b_32_linear,patch_shuffle_4x4,test_05123,1,bird,0.69996846
clip_vit_b_32_linear,patch_shuffle_4x4,test_05851,9,truck,0.6615756
clip_vit_b_32_linear,patch_shuffle_4x4,test_04094,9,truck,0.6375904
clip_vit_b_32_linear,patch_shuffle_4x4,test_04254,6,horse,0.8664415
clip_vit_b_32_linear,patch_shuffle_4x4,test_02501,7,monkey,0.8653208
clip_vit_b_32_linear,patch_shuffle_4x4,test_06938,1,bird,0.77900773
clip_vit_b_32_linear,patch_shuffle_4x4,test_00171,4,deer,0.83152705
clip_vit_b_32_linear,patch_shuffle_4x4,test_04215,3,cat,0.73400974
clip_vit_b_32_linear,patch_shuffle_4x4,test_05705,8,ship,0.7451736
clip_vit_b_32_linear,patch_shuffle_4x4,test_03458,4,deer,0.82648087
clip_vit_b_32_linear,patch_shuffle_4x4,test_01220,7,monkey,0.7867669
clip_vit_b_32_linear,patch_shuffle_4x4,test_00962,8,ship,0.76829547
clip_vit_b_32_linear,patch_shuffle_4x4,test_02950,5,dog,0.8190591
clip_vit_b_32_linear,patch_shuffle_4x4,test_02623,5,dog,0.7300507
clip_vit_b_32_linear,patch_shuffle_4x4,test_04539,0,airplane,0.7867567
clip_vit_b_32_linear,patch_shuffle_4x4,test_01553,0,airplane,0.6745951
clip_vit_b_32_linear,patch_shuffle_4x4,test_04740,4,deer,0.7325019
clip_vit_b_32_linear,patch_shuffle_4x4,test_06844,0,airplane,0.85529333
clip_vit_b_32_linear,patch_shuffle_4x4,test_02668,7,monkey,0.8391735
clip_vit_b_32_linear,patch_shuffle_4x4,test_03153,7,monkey,0.7722468
clip_vit_b_32_linear,patch_shuffle_4x4,test_05135,4,deer,0.76214427
clip_vit_b_32_linear,patch_shuffle_4x4,test_02291,3,cat,0.63601494
clip_vit_b_32_linear,patch_shuffle_4x4,test_00116,1,bird,0.7185217
clip_vit_b_32_linear,patch_shuffle_4x4,test_07797,3,cat,0.7706301
clip_vit_b_32_linear,patch_shuffle_4x4,test_04609,3,cat,0.6954396
clip_vit_b_32_linear,patch_shuffle_4x4,test_00081,0,airplane,0.6552499
clip_vit_b_32_linear,patch_shuffle_4x4,test_05580,6,horse,0.71338415
clip_vit_b_32_linear,patch_shuffle_4x4,test_03024,2,car,0.604454
clip_vit_b_32_linear,patch_shuffle_4x4,test_02766,5,dog,0.65055525
clip_vit_b_32_linear,patch_shuffle_4x4,test_05000,8,ship,0.7133048
clip_vit_b_32_linear,patch_shuffle_4x4,test_02610,6,horse,0.8335294
clip_vit_b_32_linear,patch_shuffle_4x4,test_02024,0,airplane,0.59396416
clip_vit_b_32_linear,patch_shuffle_4x4,test_06097,4,deer,0.8356548
clip_vit_b_32_linear,patch_shuffle_4x4,test_00964,6,horse,0.6083904
clip_vit_b_32_linear,patch_shuffle_4x4,test_07634,0,airplane,0.77752674
clip_vit_b_32_linear,patch_shuffle_4x4,test_06434,8,ship,0.68041056
clip_vit_b_32_linear,patch_shuffle_4x4,test_05183,2,car,0.7984608
clip_vit_b_32_linear,patch_shuffle_4x4,test_06986,0,airplane,0.78252214
clip_vit_b_32_linear,patch_shuffle_4x4,test_00645,5,dog,0.8109547
clip_vit_b_32_linear,patch_shuffle_4x4,test_03347,0,airplane,0.73300874
clip_vit_b_32_linear,patch_shuffle_4x4,test_05677,2,car,0.6409824
clip_vit_b_32_linear,patch_shuffle_4x4,test_03412,8,ship,0.8142448
clip_vit_b_32_linear,patch_shuffle_4x4,test_03937,1,bird,0.61710066
clip_vit_b_32_linear,patch_shuffle_4x4,test_00873,6,horse,0.8249462
clip_vit_b_32_linear,patch_shuffle_4x4,test_02167,9,truck,0.7356216
clip_vit_b_32_linear,patch_shuffle_4x4,test_06490,3,cat,0.759851
clip_vit_b_32_linear,patch_shuffle_4x4,test_00738,3,cat,0.71930206
clip_vit_b_32_linear,patch_shuffle_4x4,test_06616,2,car,0.76894224
clip_vit_b_32_linear,patch_shuffle_4x4,test_04093,6,horse,0.63895744
clip_vit_b_32_linear,patch_shuffle_4x4,test_05788,9,truck,0.72446996
clip_vit_b_32_linear,patch_shuffle_4x4,test_07818,8,ship,0.69543606
clip_vit_b_32_linear,patch_shuffle_4x4,test_00304,1,bird,0.7783614
clip_vit_b_32_linear,patch_shuffle_4x4,test_02082,2,car,0.74655
clip_vit_b_32_linear,patch_shuffle_4x4,test_02746,7,monkey,0.6878126
clip_vit_b_32_linear,patch_shuffle_4x4,test_07944,4,deer,0.80193794
clip_vit_b_32_linear,patch_shuffle_4x4,test_06689,8,ship,0.66908705
clip_vit_b_32_linear,patch_shuffle_4x4,test_02414,9,truck,0.74358445
clip_vit_b_32_linear,patch_shuffle_4x4,test_03779,6,horse,0.76535547
clip_vit_b_32_linear,patch_shuffle_4x4,test_02095,1,bird,0.82982236
clip_vit_b_32_linear,patch_shuffle_4x4,test_07262,0,airplane,0.82213193
clip_vit_b_32_linear,patch_shuffle_4x4,test_05694,8,ship,0.74397177
clip_vit_b_32_linear,patch_shuffle_4x4,test_07413,5,dog,0.8474588
clip_vit_b_32_linear,patch_shuffle_4x4,test_06805,1,bird,0.78055024
clip_vit_b_32_linear,patch_shuffle_4x4,test_03446,7,monkey,0.6835479
clip_vit_b_32_linear,patch_shuffle_4x4,test_02807,5,dog,0.7397451
