model_name,condition,identifier,class_id,class_name,cosine_similarity
resnet50_linear,cue_conflict,cc_000,0,airplane,0.11876281
resnet50_linear,cue_conflict,cc_001,0,airplane,0.15640238
resnet50_linear,cue_conflict,cc_002,0,airplane,0.42234552
resnet50_linear,cue_conflict,cc_003,0,airplane,0.16497473
resnet50_linear,cue_conflict,cc_004,0,airplane,0.15406804
resnet50_linear,cue_conflict,cc_005,0,airplane,0.24920377
resnet50_linear,cue_conflict,cc_006,0,airplane,0.43443704
resnet50_linear,cue_conflict,cc_007,0,airplane,0.14719397
resnet50_linear,cue_conflict,cc_008,0,airplane,0.21468161
resnet50_linear,cue_conflict,cc_009,0,airplane,0.07735806
resnet50_linear,cue_conflict,cc_010,0,airplane,0.20853621
resnet50_linear,cue_conflict,cc_011,0,airplane,0.18136887
resnet50_linear,cue_conflict,cc_012,0,airplane,0.18709184
resnet50_linear,cue_conflict,cc_013,0,airplane,0.28241098
resnet50_linear,cue_conflict,cc_014,0,airplane,0.11386944
resnet50_linear,cue_conflict,cc_015,0,airplane,0.15193328
resnet50_linear,cue_conflict,cc_016,0,airplane,0.16832045
resnet50_linear,cue_conflict,cc_017,0,airplane,0.29182273
resnet50_linear,cue_conflict,cc_018,0,airplane,0.25142458
resnet50_linear,cue_conflict,cc_019,0,airplane,0.28712827
resnet50_linear,cue_conflict,cc_020,0,airplane,0.15886828
resnet50_linear,cue_conflict,cc_021,0,airplane,0.16712059
resnet50_linear,cue_conflict,cc_022,0,airplane,0.33339107
resnet50_linear,cue_conflict,cc_023,0,airplane,0.09740464
resnet50_linear,cue_conflict,cc_024,0,airplane,0.3778282
resnet50_linear,cue_conflict,cc_025,0,airplane,0.09995286
resnet50_linear,cue_conflict,cc_026,0,airplane,0.16676489
resnet50_linear,cue_conflict,cc_027,0,airplane,0.3776938
resnet50_linear,cue_conflict,cc_028,0,airplane,0.09251808
resnet50_linear,cue_conflict,cc_029,0,airplane,0.1122431
resnet50_linear,cue_conflict,cc_030,1,bird,0.84317124
resnet50_linear,cue_conflict,cc_031,1,bird,0.45613027
resnet50_linear,cue_conflict,cc_032,1,bird,0.1886831
resnet50_linear,cue_conflict,cc_033,1,bird,0.35302332
resnet50_linear,cue_conflict,cc_034,1,bird,0.24791504
resnet50_linear,cue_conflict,cc_035,1,bird,0.3168291
resnet50_linear,cue_conflict,cc_036,1,bird,0.2709178
resnet50_linear,cue_conflict,cc_038,1,bird,0.44870135
resnet50_linear,cue_conflict,cc_039,1,bird,0.40218765
resnet50_linear,cue_conflict,cc_040,1,bird,0.5790669
resnet50_linear,cue_conflict,cc_041,1,bird,0.47231865
resnet50_linear,cue_conflict,cc_042,1,bird,0.361233
resnet50_linear,cue_conflict,cc_043,1,bird,0.6297517
resnet50_linear,cue_conflict,cc_044,1,bird,0.2970355
resnet50_linear,cue_conflict,cc_045,1,bird,0.45681405
resnet50_linear,cue_conflict,cc_046,1,bird,0.47333717
resnet50_linear,cue_conflict,cc_047,1,bird,0.30846012
resnet50_linear,cue_conflict,cc_049,1,bird,0.6326605
resnet50_linear,cue_conflict,cc_050,1,bird,0.43161935
resnet50_linear,cue_conflict,cc_051,1,bird,0.41354388
resnet50_linear,cue_conflict,cc_052,1,bird,0.4309494
resnet50_linear,cue_conflict,cc_053,1,bird,0.2078384
resnet50_linear,cue_conflict,cc_054,1,bird,0.2841464
resnet50_linear,cue_conflict,cc_056,1,bird,0.43500486
resnet50_linear,cue_conflict,cc_057,1,bird,0.48820835
resnet50_linear,cue_conflict,cc_059,1,bird,0.5068499
resnet50_linear,cue_conflict,cc_060,2,car,0.74739224
resnet50_linear,cue_conflict,cc_061,2,car,0.2377229
resnet50_linear,cue_conflict,cc_062,2,car,0.5178596
resnet50_linear,cue_conflict,cc_063,2,car,0.5005842
resnet50_linear,cue_conflict,cc_064,2,car,0.6912038
resnet50_linear,cue_conflict,cc_065,2,car,0.11375124
resnet50_linear,cue_conflict,cc_066,2,car,0.64493346
resnet50_linear,cue_conflict,cc_067,2,car,0.6274676
resnet50_linear,cue_conflict,cc_068,2,car,0.5408829
resnet50_linear,cue_conflict,cc_069,2,car,0.3899507
resnet50_linear,cue_conflict,cc_070,2,car,0.3330304
resnet50_linear,cue_conflict,cc_071,2,car,0.61096954
resnet50_linear,cue_conflict,cc_072,2,car,0.5877182
resnet50_linear,cue_conflict,cc_073,2,car,0.5138873
resnet50_linear,cue_conflict,cc_074,2,car,0.583774
resnet50_linear,cue_conflict,cc_075,2,car,0.37158704
resnet50_linear,cue_conflict,cc_076,2,car,0.36073223
resnet50_linear,cue_conflict,cc_077,2,car,0.57817334
resnet50_linear,cue_conflict,cc_078,2,car,0.6010402
resnet50_linear,cue_conflict,cc_079,2,car,0.33035016
resnet50_linear,cue_conflict,cc_080,2,car,0.5890326
resnet50_linear,cue_conflict,cc_081,2,car,0.5035624
resnet50_linear,cue_conflict,cc_082,2,car,0.31672132
resnet50_linear,cue_conflict,cc_083,2,car,0.327475
resnet50_linear,cue_conflict,cc_084,2,car,0.5122365
resnet50_linear,cue_conflict,cc_085,2,car,0.3546732
resnet50_linear,cue_conflict,cc_086,2,car,0.6205582
resnet50_linear,cue_conflict,cc_087,2,car,0.32867983
resnet50_linear,cue_conflict,cc_088,2,car,0.5264679
resnet50_linear,cue_conflict,cc_089,2,car,0.28157613
resnet50_linear,cue_conflict,cc_090,6,horse,0.27851975
resnet50_linear,cue_conflict,cc_091,6,horse,0.663534
resnet50_linear,cue_conflict,cc_092,6,horse,0.58811283
resnet50_linear,cue_conflict,cc_093,6,horse,0.6051556
resnet50_linear,cue_conflict,cc_094,6,horse,0.48149288
resnet50_linear,cue_conflict,cc_095,6,horse,0.5597792
resnet50_linear,cue_conflict,cc_096,6,horse,0.31324038
resnet50_linear,cue_conflict,cc_097,6,horse,0.6659234
resnet50_linear,cue_conflict,cc_098,6,horse,0.16708657
resnet50_linear,cue_conflict,cc_099,6,horse,0.42401135
resnet50_linear,cue_conflict,cc_100,6,horse,0.5081566
