model_name,condition,identifier,class_id,class_name,cosine_similarity
resnet50_linear,grayscale,test_00632,3,cat,0.8551111
resnet50_linear,grayscale,test_00131,9,truck,0.9174263
resnet50_linear,grayscale,test_07081,7,monkey,0.79514414
resnet50_linear,grayscale,test_01836,9,truck,0.735423
resnet50_linear,grayscale,test_06437,0,airplane,0.9422846
resnet50_linear,grayscale,test_06609,0,airplane,0.7408866
resnet50_linear,grayscale,test_03467,7,monkey,0.7385374
resnet50_linear,grayscale,test_01401,3,cat,0.8179976
resnet50_linear,grayscale,test_01839,2,car,0.9466082
resnet50_linear,grayscale,test_04168,3,cat,0.8626061
resnet50_linear,grayscale,test_00035,2,car,0.80861306
resnet50_linear,grayscale,test_04177,8,ship,0.7638525
resnet50_linear,grayscale,test_07270,7,monkey,0.69612134
resnet50_linear,grayscale,test_02265,5,dog,0.75217605
resnet50_linear,grayscale,test_03288,7,monkey,0.79061884
resnet50_linear,grayscale,test_05451,8,ship,0.840648
resnet50_linear,grayscale,test_04023,3,cat,0.7419469
resnet50_linear,grayscale,test_00261,1,bird,0.78636175
resnet50_linear,grayscale,test_04570,5,dog,0.8407588
resnet50_linear,grayscale,test_04966,5,dog,0.75915337
resnet50_linear,grayscale,test_07955,1,bird,0.78425604
resnet50_linear,grayscale,test_06288,4,deer,0.7989254
resnet50_linear,grayscale,test_07810,8,ship,0.9175415
resnet50_linear,grayscale,test_01927,7,monkey,0.8829507
resnet50_linear,grayscale,test_01871,1,bird,0.7640221
resnet50_linear,grayscale,test_06922,5,dog,0.8572924
resnet50_linear,grayscale,test_03512,4,deer,0.83257484
resnet50_linear,grayscale,test_04754,6,horse,0.7339856
resnet50_linear,grayscale,test_00714,2,car,0.83344966
resnet50_linear,grayscale,test_02191,8,ship,0.737887
resnet50_linear,grayscale,test_04615,0,airplane,0.7992361
resnet50_linear,grayscale,test_04662,8,ship,0.89792705
resnet50_linear,grayscale,test_05915,9,truck,0.74445343
resnet50_linear,grayscale,test_00766,4,deer,0.6556966
resnet50_linear,grayscale,test_05218,2,car,0.89892465
resnet50_linear,grayscale,test_02340,8,ship,0.9008488
resnet50_linear,grayscale,test_01954,8,ship,0.78432596
resnet50_linear,grayscale,test_07875,8,ship,0.7568539
