model_name,condition,identifier,class_id,class_name,cosine_similarity
resnet50_linear,patch_shuffle_4x4,test_00632,3,cat,0.77738726
resnet50_linear,patch_shuffle_4x4,test_00131,9,truck,0.6607498
resnet50_linear,patch_shuffle_4x4,test_07081,7,monkey,0.67921376
resnet50_linear,patch_shuffle_4x4,test_01836,9,truck,0.5360324
resnet50_linear,patch_shuffle_4x4,test_06437,0,airplane,0.64342487
resnet50_linear,patch_shuffle_4x4,test_06609,0,airplane,0.68382525
resnet50_linear,patch_shuffle_4x4,test_03467,7,monkey,0.7504832
resnet50_linear,patch_shuffle_4x4,test_01401,3,cat,0.56085485
resnet50_linear,patch_shuffle_4x4,test_01839,2,car,0.7377287
resnet50_linear,patch_shuffle_4x4,test_04168,3,cat,0.65167505
resnet50_linear,patch_shuffle_4x4,test_00035,2,car,0.7580445
resnet50_linear,patch_shuffle_4x4,test_04177,8,ship,0.76152563
resnet50_linear,patch_shuffle_4x4,test_07270,7,monkey,0.7308924
resnet50_linear,patch_shuffle_4x4,test_02265,5,dog,0.72866094
resnet50_linear,patch_shuffle_4x4,test_03288,7,monkey,0.6372753
resnet50_linear,patch_shuffle_4x4,test_05451,8,ship,0.594379
resnet50_linear,patch_shuffle_4x4,test_04023,3,cat,0.6657737
resnet50_linear,patch_shuffle_4x4,test_00261,1,bird,0.6235779
resnet50_linear,patch_shuffle_4x4,test_04570,5,dog,0.6562628
resnet50_linear,patch_shuffle_4x4,test_04966,5,dog,0.6861207
resnet50_linear,patch_shuffle_4x4,test_07955,1,bird,0.7157617
resnet50_linear,patch_shuffle_4x4,test_06288,4,deer,0.5645093
resnet50_linear,patch_shuffle_4x4,test_07810,8,ship,0.63982505
resnet50_linear,patch_shuffle_4x4,test_01927,7,monkey,0.63174385
resnet50_linear,patch_shuffle_4x4,test_01871,1,bird,0.7423335
resnet50_linear,patch_shuffle_4x4,test_06922,5,dog,0.69314575
resnet50_linear,patch_shuffle_4x4,test_03512,4,deer,0.7034405
resnet50_linear,patch_shuffle_4x4,test_04754,6,horse,0.77592725
resnet50_linear,patch_shuffle_4x4,test_00714,2,car,0.73856914
resnet50_linear,patch_shuffle_4x4,test_02191,8,ship,0.7497827
resnet50_linear,patch_shuffle_4x4,test_04615,0,airplane,0.67358863
resnet50_linear,patch_shuffle_4x4,test_04662,8,ship,0.80058837
resnet50_linear,patch_shuffle_4x4,test_05915,9,truck,0.7324643
resnet50_linear,patch_shuffle_4x4,test_00766,4,deer,0.727105
resnet50_linear,patch_shuffle_4x4,test_05218,2,car,0.71772075
resnet50_linear,patch_shuffle_4x4,test_02340,8,ship,0.65952235
resnet50_linear,patch_shuffle_4x4,test_01954,8,ship,0.6718869
resnet50_linear,patch_shuffle_4x4,test_07875,8,ship,0.58764845
resnet50_linear,patch_shuffle_4x4,test_03418,6,horse,0.6729348
resnet50_linear,patch_shuffle_4x4,test_05572,9,truck,0.73994696
resnet50_linear,patch_shuffle_4x4,test_05977,7,monkey,0.74293864
resnet50_linear,patch_shuffle_4x4,test_05123,1,bird,0.81145954
resnet50_linear,patch_shuffle_4x4,test_05851,9,truck,0.5350913
resnet50_linear,patch_shuffle_4x4,test_04094,9,truck,0.69133663
resnet50_linear,patch_shuffle_4x4,test_04254,6,horse,0.7930939
resnet50_linear,patch_shuffle_4x4,test_02501,7,monkey,0.7441151
resnet50_linear,patch_shuffle_4x4,test_06938,1,bird,0.7197541
resnet50_linear,patch_shuffle_4x4,test_00171,4,deer,0.7701956
resnet50_linear,patch_shuffle_4x4,test_04215,3,cat,0.8443192
resnet50_linear,patch_shuffle_4x4,test_05705,8,ship,0.7410005
resnet50_linear,patch_shuffle_4x4,test_03458,4,deer,0.63463354
resnet50_linear,patch_shuffle_4x4,test_01220,7,monkey,0.64632523
resnet50_linear,patch_shuffle_4x4,test_00962,8,ship,0.82456654
resnet50_linear,patch_shuffle_4x4,test_02950,5,dog,0.6853145
resnet50_linear,patch_shuffle_4x4,test_02623,5,dog,0.70013064
resnet50_linear,patch_shuffle_4x4,test_04539,0,airplane,0.7577611
resnet50_linear,patch_shuffle_4x4,test_01553,0,airplane,0.60879713
resnet50_linear,patch_shuffle_4x4,test_04740,4,deer,0.7223078
resnet50_linear,patch_shuffle_4x4,test_06844,0,airplane,0.6685965
resnet50_linear,patch_shuffle_4x4,test_02668,7,monkey,0.60910285
resnet50_linear,patch_shuffle_4x4,test_03153,7,monkey,0.69732326
resnet50_linear,patch_shuffle_4x4,test_05135,4,deer,0.6414982
resnet50_linear,patch_shuffle_4x4,test_02291,3,cat,0.5920236
resnet50_linear,patch_shuffle_4x4,test_00116,1,bird,0.6384417
resnet50_linear,patch_shuffle_4x4,test_07797,3,cat,0.6111835
resnet50_linear,patch_shuffle_4x4,test_04609,3,cat,0.60307044
resnet50_linear,patch_shuffle_4x4,test_00081,0,airplane,0.6139704
resnet50_linear,patch_shuffle_4x4,test_05580,6,horse,0.7159892
resnet50_linear,patch_shuffle_4x4,test_03024,2,car,0.69474226
resnet50_linear,patch_shuffle_4x4,test_02766,5,dog,0.6494723
resnet50_linear,patch_shuffle_4x4,test_05000,8,ship,0.70890754
resnet50_linear,patch_shuffle_4x4,test_02610,6,horse,0.6978011
resnet50_linear,patch_shuffle_4x4,test_02024,0,airplane,0.7299985
resnet50_linear,patch_shuffle_4x4,test_06097,4,deer,0.73460555
resnet50_linear,patch_shuffle_4x4,test_00964,6,horse,0.62499154
resnet50_linear,patch_shuffle_4x4,test_07634,0,airplane,0.65252715
resnet50_linear,patch_shuffle_4x4,test_06434,8,ship,0.6789148
resnet50_linear,patch_shuffle_4x4,test_05183,2,car,0.8090058
resnet50_linear,patch_shuffle_4x4,test_06986,0,airplane,0.83203113
resnet50_linear,patch_shuffle_4x4,test_00645,5,dog,0.6619949
resnet50_linear,patch_shuffle_4x4,test_03347,0,airplane,0.6068767
resnet50_linear,patch_shuffle_4x4,test_05677,2,car,0.71318513
resnet50_linear,patch_shuffle_4x4,test_03412,8,ship,0.72174156
resnet50_linear,patch_shuffle_4x4,test_03937,1,bird,0.7233347
resnet50_linear,patch_shuffle_4x4,test_00873,6,horse,0.70428884
resnet50_linear,patch_shuffle_4x4,test_02167,9,truck,0.78920424
resnet50_linear,patch_shuffle_4x4,test_06490,3,cat,0.7232849
resnet50_linear,patch_shuffle_4x4,test_00738,3,cat,0.70913726
resnet50_linear,patch_shuffle_4x4,test_06616,2,car,0.79954165
resnet50_linear,patch_shuffle_4x4,test_04093,6,horse,0.63332826
resnet50_linear,patch_shuffle_4x4,test_05788,9,truck,0.6321803
resnet50_linear,patch_shuffle_4x4,test_07818,8,ship,0.6292306
resnet50_linear,patch_shuffle_4x4,test_00304,1,bird,0.69273657
resnet50_linear,patch_shuffle_4x4,test_02082,2,car,0.7912298
resnet50_linear,patch_shuffle_4x4,test_02746,7,monkey,0.55092216
resnet50_linear,patch_shuffle_4x4,test_07944,4,deer,0.83940035
resnet50_linear,patch_shuffle_4x4,test_06689,8,ship,0.712456
resnet50_linear,patch_shuffle_4x4,test_02414,9,truck,0.73709154
resnet50_linear,patch_shuffle_4x4,test_03779,6,horse,0.6901922
resnet50_linear,patch_shuffle_4x4,test_02095,1,bird,0.6679975
resnet50_linear,patch_shuffle_4x4,test_07262,0,airplane,0.745463
resnet50_linear,patch_shuffle_4x4,test_05694,8,ship,0.7267408
resnet50_linear,patch_shuffle_4x4,test_07413,5,dog,0.5866853
resnet50_linear,patch_shuffle_4x4,test_06805,1,bird,0.643473
resnet50_linear,patch_shuffle_4x4,test_03446,7,monkey,0.7994922
resnet50_linear,patch_shuffle_4x4,test_02807,5,dog,0.77305895
resnet50_linear,patch_shuffle_4x4,test_07940,4,deer,0.69180095
resnet50_linear,patch_shuffle_4x4,test_04172,7,monkey,0.5915768
resnet50_linear,patch_shuffle_4x4,test_07744,3,cat,0.6416325
resnet50_linear,patch_shuffle_4x4,test_01586,2,car,0.72548234
resnet50_linear,patch_shuffle_4x4,test_07999,8,ship,0.66878253
resnet50_linear,patch_shuffle_4x4,test_06349,1,bird,0.6408381
resnet50_linear,patch_shuffle_4x4,test_06594,1,bird,0.786217
resnet50_linear,patch_shuffle_4x4,test_02109,8,ship,0.6773881
resnet50_linear,patch_shuffle_4x4,test_03079,1,bird,0.64001435
resnet50_linear,patch_shuffle_4x4,test_02070,1,bird,0.8306315
resnet50_linear,patch_shuffle_4x4,test_00319,5,dog,0.64896864
resnet50_linear,patch_shuffle_4x4,test_02888,0,airplane,0.65553075
resnet50_linear,patch_shuffle_4x4,test_06224,5,dog,0.6755513
resnet50_linear,patch_shuffle_4x4,test_03353,5,dog,0.86495763
resnet50_linear,patch_shuffle_4x4,test_06244,2,car,0.6053592
