model_name,condition,identifier,class_id,class_name,cosine_similarity
resnet50_linear,translation_16_down,test_00632,3,cat,0.94812256
resnet50_linear,translation_16_down,test_00131,9,truck,0.76586974
resnet50_linear,translation_16_down,test_07081,7,monkey,0.9468668
resnet50_linear,translation_16_down,test_01836,9,truck,0.9458518
resnet50_linear,translation_16_down,test_06437,0,airplane,0.964968
resnet50_linear,translation_16_down,test_06609,0,airplane,0.9477605
resnet50_linear,translation_16_down,test_03467,7,monkey,0.9128427
resnet50_linear,translation_16_down,test_01401,3,cat,0.9562366
resnet50_linear,translation_16_down,test_01839,2,car,0.97404903
resnet50_linear,translation_16_down,test_04168,3,cat,0.9656578
resnet50_linear,translation_16_down,test_00035,2,car,0.96673936
resnet50_linear,translation_16_down,test_04177,8,ship,0.8939883
resnet50_linear,translation_16_down,test_07270,7,monkey,0.94655985
resnet50_linear,translation_16_down,test_02265,5,dog,0.9523457
resnet50_linear,translation_16_down,test_03288,7,monkey,0.97237766
resnet50_linear,translation_16_down,test_05451,8,ship,0.83513963
resnet50_linear,translation_16_down,test_04023,3,cat,0.9676318
resnet50_linear,translation_16_down,test_00261,1,bird,0.9279393
resnet50_linear,translation_16_down,test_04570,5,dog,0.9714633
resnet50_linear,translation_16_down,test_04966,5,dog,0.9507847
resnet50_linear,translation_16_down,test_07955,1,bird,0.9415535
resnet50_linear,translation_16_down,test_06288,4,deer,0.96498334
resnet50_linear,translation_16_down,test_07810,8,ship,0.9712647
resnet50_linear,translation_16_down,test_01927,7,monkey,0.95721847
resnet50_linear,translation_16_down,test_01871,1,bird,0.9311429
resnet50_linear,translation_16_down,test_06922,5,dog,0.9525209
resnet50_linear,translation_16_down,test_03512,4,deer,0.98368406
resnet50_linear,translation_16_down,test_04754,6,horse,0.9316887
resnet50_linear,translation_16_down,test_00714,2,car,0.9487268
resnet50_linear,translation_16_down,test_02191,8,ship,0.9560865
resnet50_linear,translation_16_down,test_04615,0,airplane,0.96849924
resnet50_linear,translation_16_down,test_04662,8,ship,0.9816813
resnet50_linear,translation_16_down,test_05915,9,truck,0.83711714
resnet50_linear,translation_16_down,test_00766,4,deer,0.9379656
resnet50_linear,translation_16_down,test_05218,2,car,0.98182803
resnet50_linear,translation_16_down,test_02340,8,ship,0.8824013
resnet50_linear,translation_16_down,test_01954,8,ship,0.9432461
resnet50_linear,translation_16_down,test_07875,8,ship,0.9552237
resnet50_linear,translation_16_down,test_03418,6,horse,0.97914904
resnet50_linear,translation_16_down,test_05572,9,truck,0.94474924
resnet50_linear,translation_16_down,test_05977,7,monkey,0.97879004
resnet50_linear,translation_16_down,test_05123,1,bird,0.9331002
resnet50_linear,translation_16_down,test_05851,9,truck,0.9875592
resnet50_linear,translation_16_down,test_04094,9,truck,0.95476514
resnet50_linear,translation_16_down,test_04254,6,horse,0.96074593
resnet50_linear,translation_16_down,test_02501,7,monkey,0.97157854
resnet50_linear,translation_16_down,test_06938,1,bird,0.9608878
resnet50_linear,translation_16_down,test_00171,4,deer,0.95015526
resnet50_linear,translation_16_down,test_04215,3,cat,0.9541763
resnet50_linear,translation_16_down,test_05705,8,ship,0.9449563
resnet50_linear,translation_16_down,test_03458,4,deer,0.8988756
resnet50_linear,translation_16_down,test_01220,7,monkey,0.98300606
resnet50_linear,translation_16_down,test_00962,8,ship,0.9667828
resnet50_linear,translation_16_down,test_02950,5,dog,0.94855106
resnet50_linear,translation_16_down,test_02623,5,dog,0.9616017
resnet50_linear,translation_16_down,test_04539,0,airplane,0.9692574
resnet50_linear,translation_16_down,test_01553,0,airplane,0.9116876
resnet50_linear,translation_16_down,test_04740,4,deer,0.94676614
resnet50_linear,translation_16_down,test_06844,0,airplane,0.9832827
resnet50_linear,translation_16_down,test_02668,7,monkey,0.9485437
resnet50_linear,translation_16_down,test_03153,7,monkey,0.94818693
resnet50_linear,translation_16_down,test_05135,4,deer,0.9554999
resnet50_linear,translation_16_down,test_02291,3,cat,0.9366635
resnet50_linear,translation_16_down,test_00116,1,bird,0.95223427
resnet50_linear,translation_16_down,test_07797,3,cat,0.93158543
resnet50_linear,translation_16_down,test_04609,3,cat,0.9370661
resnet50_linear,translation_16_down,test_00081,0,airplane,0.95195514
resnet50_linear,translation_16_down,test_05580,6,horse,0.9660764
resnet50_linear,translation_16_down,test_03024,2,car,0.9712513
resnet50_linear,translation_16_down,test_02766,5,dog,0.95125955
resnet50_linear,translation_16_down,test_05000,8,ship,0.97147304
resnet50_linear,translation_16_down,test_02610,6,horse,0.94076574
resnet50_linear,translation_16_down,test_02024,0,airplane,0.9466463
resnet50_linear,translation_16_down,test_06097,4,deer,0.97988987
resnet50_linear,translation_16_down,test_00964,6,horse,0.9425524
resnet50_linear,translation_16_down,test_07634,0,airplane,0.97961724
resnet50_linear,translation_16_down,test_06434,8,ship,0.9634387
resnet50_linear,translation_16_down,test_05183,2,car,0.9494307
resnet50_linear,translation_16_down,test_06986,0,airplane,0.9564159
resnet50_linear,translation_16_down,test_00645,5,dog,0.9671346
resnet50_linear,translation_16_down,test_03347,0,airplane,0.96981156
resnet50_linear,translation_16_down,test_05677,2,car,0.9185009
resnet50_linear,translation_16_down,test_03412,8,ship,0.9266165
resnet50_linear,translation_16_down,test_03937,1,bird,0.9564333
resnet50_linear,translation_16_down,test_00873,6,horse,0.9530429
resnet50_linear,translation_16_down,test_02167,9,truck,0.912171
resnet50_linear,translation_16_down,test_06490,3,cat,0.9531003
resnet50_linear,translation_16_down,test_00738,3,cat,0.9406789
resnet50_linear,translation_16_down,test_06616,2,car,0.9107426
resnet50_linear,translation_16_down,test_04093,6,horse,0.94956475
resnet50_linear,translation_16_down,test_05788,9,truck,0.91581947
resnet50_linear,translation_16_down,test_07818,8,ship,0.84988713
resnet50_linear,translation_16_down,test_00304,1,bird,0.9110484
resnet50_linear,translation_16_down,test_02082,2,car,0.93579006
resnet50_linear,translation_16_down,test_02746,7,monkey,0.9400451
resnet50_linear,translation_16_down,test_07944,4,deer,0.97019744
resnet50_linear,translation_16_down,test_06689,8,ship,0.8416224
resnet50_linear,translation_16_down,test_02414,9,truck,0.8241872
resnet50_linear,translation_16_down,test_03779,6,horse,0.930933
resnet50_linear,translation_16_down,test_02095,1,bird,0.9476839
resnet50_linear,translation_16_down,test_07262,0,airplane,0.9791666
resnet50_linear,translation_16_down,test_05694,8,ship,0.9579513
resnet50_linear,translation_16_down,test_07413,5,dog,0.97616386
resnet50_linear,translation_16_down,test_06805,1,bird,0.9657693
resnet50_linear,translation_16_down,test_03446,7,monkey,0.87030345
resnet50_linear,translation_16_down,test_02807,5,dog,0.9169388
resnet50_linear,translation_16_down,test_07940,4,deer,0.9769357
resnet50_linear,translation_16_down,test_04172,7,monkey,0.9544693
resnet50_linear,translation_16_down,test_07744,3,cat,0.9312898
resnet50_linear,translation_16_down,test_01586,2,car,0.9650773
resnet50_linear,translation_16_down,test_07999,8,ship,0.8994958
resnet50_linear,translation_16_down,test_06349,1,bird,0.9688461
resnet50_linear,translation_16_down,test_06594,1,bird,0.94989383
resnet50_linear,translation_16_down,test_02109,8,ship,0.9414715
resnet50_linear,translation_16_down,test_03079,1,bird,0.9751705
resnet50_linear,translation_16_down,test_02070,1,bird,0.94428056
resnet50_linear,translation_16_down,test_00319,5,dog,0.9654784
resnet50_linear,translation_16_down,test_02888,0,airplane,0.9003818
resnet50_linear,translation_16_down,test_06224,5,dog,0.9803797
resnet50_linear,translation_16_down,test_03353,5,dog,0.9626871
resnet50_linear,translation_16_down,test_06244,2,car,0.9305916
resnet50_linear,translation_16_down,test_04704,7,monkey,0.95697844
resnet50_linear,translation_16_down,test_02427,5,dog,0.9582939
resnet50_linear,translation_16_down,test_07995,9,truck,0.82120657
resnet50_linear,translation_16_down,test_01124,4,deer,0.9530024
resnet50_linear,translation_16_down,test_06733,1,bird,0.9843329
resnet50_linear,translation_16_down,test_02062,9,truck,0.83603936
resnet50_linear,translation_16_down,test_00805,9,truck,0.9490216
resnet50_linear,translation_16_down,test_02028,3,cat,0.956777
resnet50_linear,translation_16_down,test_02392,2,car,0.96606326
resnet50_linear,translation_16_down,test_03292,6,horse,0.9113193
resnet50_linear,translation_16_down,test_01440,7,monkey,0.9808742
resnet50_linear,translation_16_down,test_01115,1,bird,0.93737674
resnet50_linear,translation_16_down,test_04242,8,ship,0.96576065
resnet50_linear,translation_16_down,test_02230,8,ship,0.91292465
resnet50_linear,translation_16_down,test_03163,2,car,0.9398544
resnet50_linear,translation_16_down,test_00545,6,horse,0.9567025
resnet50_linear,translation_16_down,test_03863,5,dog,0.96825475
resnet50_linear,translation_16_down,test_04748,7,monkey,0.97706425
resnet50_linear,translation_16_down,test_02399,4,deer,0.9701556
resnet50_linear,translation_16_down,test_04341,6,horse,0.9547287
resnet50_linear,translation_16_down,test_03078,4,deer,0.9543071
resnet50_linear,translation_16_down,test_03763,4,deer,0.9629349
resnet50_linear,translation_16_down,test_02958,6,horse,0.9663627
resnet50_linear,translation_16_down,test_06381,6,horse,0.9586692
resnet50_linear,translation_16_down,test_01640,8,ship,0.911809
resnet50_linear,translation_16_down,test_01783,8,ship,0.96524984
resnet50_linear,translation_16_down,test_03914,3,cat,0.9641747
resnet50_linear,translation_16_down,test_01534,6,horse,0.9270587
resnet50_linear,translation_16_down,test_00685,5,dog,0.9590852
resnet50_linear,translation_16_down,test_04617,0,airplane,0.97393435
resnet50_linear,translation_16_down,test_05508,9,truck,0.9492363
resnet50_linear,translation_16_down,test_01022,9,truck,0.94100386
