model_name,condition,identifier,class_id,class_name,cosine_similarity
resnet50_linear,translation_16_right,test_00632,3,cat,0.9549814
resnet50_linear,translation_16_right,test_00131,9,truck,0.935633
resnet50_linear,translation_16_right,test_07081,7,monkey,0.82716626
resnet50_linear,translation_16_right,test_01836,9,truck,0.97716516
resnet50_linear,translation_16_right,test_06437,0,airplane,0.95113546
resnet50_linear,translation_16_right,test_06609,0,airplane,0.9846364
resnet50_linear,translation_16_right,test_03467,7,monkey,0.92032415
resnet50_linear,translation_16_right,test_01401,3,cat,0.9553443
resnet50_linear,translation_16_right,test_01839,2,car,0.96198153
resnet50_linear,translation_16_right,test_04168,3,cat,0.9357469
resnet50_linear,translation_16_right,test_00035,2,car,0.9483292
resnet50_linear,translation_16_right,test_04177,8,ship,0.9540249
resnet50_linear,translation_16_right,test_07270,7,monkey,0.89203787
resnet50_linear,translation_16_right,test_02265,5,dog,0.9410818
resnet50_linear,translation_16_right,test_03288,7,monkey,0.95108426
resnet50_linear,translation_16_right,test_05451,8,ship,0.9692698
resnet50_linear,translation_16_right,test_04023,3,cat,0.90966976
resnet50_linear,translation_16_right,test_00261,1,bird,0.9847327
resnet50_linear,translation_16_right,test_04570,5,dog,0.9582844
resnet50_linear,translation_16_right,test_04966,5,dog,0.92244864
resnet50_linear,translation_16_right,test_07955,1,bird,0.90445215
resnet50_linear,translation_16_right,test_06288,4,deer,0.88993603
resnet50_linear,translation_16_right,test_07810,8,ship,0.96820366
resnet50_linear,translation_16_right,test_01927,7,monkey,0.9740876
resnet50_linear,translation_16_right,test_01871,1,bird,0.92840576
resnet50_linear,translation_16_right,test_06922,5,dog,0.970855
resnet50_linear,translation_16_right,test_03512,4,deer,0.9786648
resnet50_linear,translation_16_right,test_04754,6,horse,0.96463555
resnet50_linear,translation_16_right,test_00714,2,car,0.93217087
resnet50_linear,translation_16_right,test_02191,8,ship,0.9597891
resnet50_linear,translation_16_right,test_04615,0,airplane,0.9589083
resnet50_linear,translation_16_right,test_04662,8,ship,0.97076225
resnet50_linear,translation_16_right,test_05915,9,truck,0.9143169
resnet50_linear,translation_16_right,test_00766,4,deer,0.93659735
resnet50_linear,translation_16_right,test_05218,2,car,0.9883599
resnet50_linear,translation_16_right,test_02340,8,ship,0.98843336
resnet50_linear,translation_16_right,test_01954,8,ship,0.9725264
resnet50_linear,translation_16_right,test_07875,8,ship,0.9721689
resnet50_linear,translation_16_right,test_03418,6,horse,0.9541066
resnet50_linear,translation_16_right,test_05572,9,truck,0.98003757
resnet50_linear,translation_16_right,test_05977,7,monkey,0.95722544
resnet50_linear,translation_16_right,test_05123,1,bird,0.97311026
resnet50_linear,translation_16_right,test_05851,9,truck,0.9722793
resnet50_linear,translation_16_right,test_04094,9,truck,0.9665189
resnet50_linear,translation_16_right,test_04254,6,horse,0.9695047
resnet50_linear,translation_16_right,test_02501,7,monkey,0.9711251
resnet50_linear,translation_16_right,test_06938,1,bird,0.97087616
resnet50_linear,translation_16_right,test_00171,4,deer,0.9205693
resnet50_linear,translation_16_right,test_04215,3,cat,0.91231656
resnet50_linear,translation_16_right,test_05705,8,ship,0.9646696
resnet50_linear,translation_16_right,test_03458,4,deer,0.9191253
resnet50_linear,translation_16_right,test_01220,7,monkey,0.9225346
resnet50_linear,translation_16_right,test_00962,8,ship,0.9797048
resnet50_linear,translation_16_right,test_02950,5,dog,0.9709612
resnet50_linear,translation_16_right,test_02623,5,dog,0.8771005
resnet50_linear,translation_16_right,test_04539,0,airplane,0.9500745
resnet50_linear,translation_16_right,test_01553,0,airplane,0.9482182
resnet50_linear,translation_16_right,test_04740,4,deer,0.94758236
resnet50_linear,translation_16_right,test_06844,0,airplane,0.9837904
resnet50_linear,translation_16_right,test_02668,7,monkey,0.94404376
resnet50_linear,translation_16_right,test_03153,7,monkey,0.95337766
resnet50_linear,translation_16_right,test_05135,4,deer,0.8849558
resnet50_linear,translation_16_right,test_02291,3,cat,0.8932749
resnet50_linear,translation_16_right,test_00116,1,bird,0.8791882
resnet50_linear,translation_16_right,test_07797,3,cat,0.9383546
resnet50_linear,translation_16_right,test_04609,3,cat,0.88217884
resnet50_linear,translation_16_right,test_00081,0,airplane,0.9037583
resnet50_linear,translation_16_right,test_05580,6,horse,0.9517049
resnet50_linear,translation_16_right,test_03024,2,car,0.9163524
resnet50_linear,translation_16_right,test_02766,5,dog,0.9511682
resnet50_linear,translation_16_right,test_05000,8,ship,0.9613081
resnet50_linear,translation_16_right,test_02610,6,horse,0.9431536
resnet50_linear,translation_16_right,test_02024,0,airplane,0.96092266
resnet50_linear,translation_16_right,test_06097,4,deer,0.97281075
resnet50_linear,translation_16_right,test_00964,6,horse,0.96118534
