model_name,condition,identifier,class_id,class_name,cosine_similarity
resnet50_linear,translation_16_up,test_00632,3,cat,0.9686115
resnet50_linear,translation_16_up,test_00131,9,truck,0.95015264
resnet50_linear,translation_16_up,test_07081,7,monkey,0.94852793
resnet50_linear,translation_16_up,test_01836,9,truck,0.91841495
resnet50_linear,translation_16_up,test_06437,0,airplane,0.9619611
resnet50_linear,translation_16_up,test_06609,0,airplane,0.96183383
resnet50_linear,translation_16_up,test_03467,7,monkey,0.95832527
resnet50_linear,translation_16_up,test_01401,3,cat,0.96159893
resnet50_linear,translation_16_up,test_01839,2,car,0.975567
resnet50_linear,translation_16_up,test_04168,3,cat,0.9712355
resnet50_linear,translation_16_up,test_00035,2,car,0.9586994
resnet50_linear,translation_16_up,test_04177,8,ship,0.93281615
resnet50_linear,translation_16_up,test_07270,7,monkey,0.9475218
resnet50_linear,translation_16_up,test_02265,5,dog,0.9713554
resnet50_linear,translation_16_up,test_03288,7,monkey,0.9620324
resnet50_linear,translation_16_up,test_05451,8,ship,0.893114
resnet50_linear,translation_16_up,test_04023,3,cat,0.9683012
resnet50_linear,translation_16_up,test_00261,1,bird,0.9848125
resnet50_linear,translation_16_up,test_04570,5,dog,0.9816463
resnet50_linear,translation_16_up,test_04966,5,dog,0.95068
resnet50_linear,translation_16_up,test_07955,1,bird,0.95371425
resnet50_linear,translation_16_up,test_06288,4,deer,0.96312505
resnet50_linear,translation_16_up,test_07810,8,ship,0.9722374
resnet50_linear,translation_16_up,test_01927,7,monkey,0.97821534
resnet50_linear,translation_16_up,test_01871,1,bird,0.94725746
resnet50_linear,translation_16_up,test_06922,5,dog,0.970276
resnet50_linear,translation_16_up,test_03512,4,deer,0.9827175
resnet50_linear,translation_16_up,test_04754,6,horse,0.96143997
resnet50_linear,translation_16_up,test_00714,2,car,0.94925195
resnet50_linear,translation_16_up,test_02191,8,ship,0.9562343
resnet50_linear,translation_16_up,test_04615,0,airplane,0.96252924
resnet50_linear,translation_16_up,test_04662,8,ship,0.9819242
resnet50_linear,translation_16_up,test_05915,9,truck,0.9228412
resnet50_linear,translation_16_up,test_00766,4,deer,0.94006115
resnet50_linear,translation_16_up,test_05218,2,car,0.9879662
resnet50_linear,translation_16_up,test_02340,8,ship,0.8057841
resnet50_linear,translation_16_up,test_01954,8,ship,0.93847966
resnet50_linear,translation_16_up,test_07875,8,ship,0.95860016
resnet50_linear,translation_16_up,test_03418,6,horse,0.95163643
resnet50_linear,translation_16_up,test_05572,9,truck,0.96512175
resnet50_linear,translation_16_up,test_05977,7,monkey,0.9607775
resnet50_linear,translation_16_up,test_05123,1,bird,0.9506153
resnet50_linear,translation_16_up,test_05851,9,truck,0.9838029
resnet50_linear,translation_16_up,test_04094,9,truck,0.9498686
resnet50_linear,translation_16_up,test_04254,6,horse,0.9633877
resnet50_linear,translation_16_up,test_02501,7,monkey,0.9715862
resnet50_linear,translation_16_up,test_06938,1,bird,0.95390064
resnet50_linear,translation_16_up,test_00171,4,deer,0.9686572
resnet50_linear,translation_16_up,test_04215,3,cat,0.9549271
resnet50_linear,translation_16_up,test_05705,8,ship,0.945374
resnet50_linear,translation_16_up,test_03458,4,deer,0.9387233
resnet50_linear,translation_16_up,test_01220,7,monkey,0.980957
resnet50_linear,translation_16_up,test_00962,8,ship,0.97314906
resnet50_linear,translation_16_up,test_02950,5,dog,0.9516679
resnet50_linear,translation_16_up,test_02623,5,dog,0.95256513
resnet50_linear,translation_16_up,test_04539,0,airplane,0.97246027
resnet50_linear,translation_16_up,test_01553,0,airplane,0.85182714
resnet50_linear,translation_16_up,test_04740,4,deer,0.94062024
resnet50_linear,translation_16_up,test_06844,0,airplane,0.9850041
resnet50_linear,translation_16_up,test_02668,7,monkey,0.9575185
resnet50_linear,translation_16_up,test_03153,7,monkey,0.95166856
resnet50_linear,translation_16_up,test_05135,4,deer,0.9772717
resnet50_linear,translation_16_up,test_02291,3,cat,0.9540721
resnet50_linear,translation_16_up,test_00116,1,bird,0.9621627
resnet50_linear,translation_16_up,test_07797,3,cat,0.95712155
resnet50_linear,translation_16_up,test_04609,3,cat,0.9471638
resnet50_linear,translation_16_up,test_00081,0,airplane,0.9309123
resnet50_linear,translation_16_up,test_05580,6,horse,0.96698964
resnet50_linear,translation_16_up,test_03024,2,car,0.9729274
resnet50_linear,translation_16_up,test_02766,5,dog,0.90738726
resnet50_linear,translation_16_up,test_05000,8,ship,0.9719096
resnet50_linear,translation_16_up,test_02610,6,horse,0.9299994
resnet50_linear,translation_16_up,test_02024,0,airplane,0.97936505
resnet50_linear,translation_16_up,test_06097,4,deer,0.9543282
resnet50_linear,translation_16_up,test_00964,6,horse,0.9424226
resnet50_linear,translation_16_up,test_07634,0,airplane,0.9825225
resnet50_linear,translation_16_up,test_06434,8,ship,0.9666855
resnet50_linear,translation_16_up,test_05183,2,car,0.9639748
resnet50_linear,translation_16_up,test_06986,0,airplane,0.9548211
resnet50_linear,translation_16_up,test_00645,5,dog,0.9700513
resnet50_linear,translation_16_up,test_03347,0,airplane,0.9768484
resnet50_linear,translation_16_up,test_05677,2,car,0.97463816
resnet50_linear,translation_16_up,test_03412,8,ship,0.94361234
resnet50_linear,translation_16_up,test_03937,1,bird,0.94583493
resnet50_linear,translation_16_up,test_00873,6,horse,0.95279413
resnet50_linear,translation_16_up,test_02167,9,truck,0.94653964
resnet50_linear,translation_16_up,test_06490,3,cat,0.92465574
resnet50_linear,translation_16_up,test_00738,3,cat,0.9476437
resnet50_linear,translation_16_up,test_06616,2,car,0.92710686
resnet50_linear,translation_16_up,test_04093,6,horse,0.94534606
resnet50_linear,translation_16_up,test_05788,9,truck,0.9552154
resnet50_linear,translation_16_up,test_07818,8,ship,0.88578194
resnet50_linear,translation_16_up,test_00304,1,bird,0.9227121
resnet50_linear,translation_16_up,test_02082,2,car,0.9612446
resnet50_linear,translation_16_up,test_02746,7,monkey,0.95770156
resnet50_linear,translation_16_up,test_07944,4,deer,0.9687438
resnet50_linear,translation_16_up,test_06689,8,ship,0.8526022
resnet50_linear,translation_16_up,test_02414,9,truck,0.96150035
resnet50_linear,translation_16_up,test_03779,6,horse,0.92469037
resnet50_linear,translation_16_up,test_02095,1,bird,0.95383394
resnet50_linear,translation_16_up,test_07262,0,airplane,0.9778751
resnet50_linear,translation_16_up,test_05694,8,ship,0.96119636
resnet50_linear,translation_16_up,test_07413,5,dog,0.9765514
resnet50_linear,translation_16_up,test_06805,1,bird,0.96898115
resnet50_linear,translation_16_up,test_03446,7,monkey,0.9530169
resnet50_linear,translation_16_up,test_02807,5,dog,0.93199337
resnet50_linear,translation_16_up,test_07940,4,deer,0.96626234
resnet50_linear,translation_16_up,test_04172,7,monkey,0.9534987
resnet50_linear,translation_16_up,test_07744,3,cat,0.87121105
resnet50_linear,translation_16_up,test_01586,2,car,0.9612178
resnet50_linear,translation_16_up,test_07999,8,ship,0.88799316
resnet50_linear,translation_16_up,test_06349,1,bird,0.95992583
resnet50_linear,translation_16_up,test_06594,1,bird,0.9761469
resnet50_linear,translation_16_up,test_02109,8,ship,0.94648814
resnet50_linear,translation_16_up,test_03079,1,bird,0.97227985
resnet50_linear,translation_16_up,test_02070,1,bird,0.93052125
resnet50_linear,translation_16_up,test_00319,5,dog,0.9710843
resnet50_linear,translation_16_up,test_02888,0,airplane,0.8524326
resnet50_linear,translation_16_up,test_06224,5,dog,0.9886433
resnet50_linear,translation_16_up,test_03353,5,dog,0.966654
resnet50_linear,translation_16_up,test_06244,2,car,0.95279294
resnet50_linear,translation_16_up,test_04704,7,monkey,0.9410803
resnet50_linear,translation_16_up,test_02427,5,dog,0.9610492
resnet50_linear,translation_16_up,test_07995,9,truck,0.91896784
resnet50_linear,translation_16_up,test_01124,4,deer,0.955766
resnet50_linear,translation_16_up,test_06733,1,bird,0.98002684
resnet50_linear,translation_16_up,test_02062,9,truck,0.9483105
resnet50_linear,translation_16_up,test_00805,9,truck,0.95957816
resnet50_linear,translation_16_up,test_02028,3,cat,0.9387953
resnet50_linear,translation_16_up,test_02392,2,car,0.97381204
resnet50_linear,translation_16_up,test_03292,6,horse,0.9346401
resnet50_linear,translation_16_up,test_01440,7,monkey,0.97939736
resnet50_linear,translation_16_up,test_01115,1,bird,0.9303502
resnet50_linear,translation_16_up,test_04242,8,ship,0.9723757
resnet50_linear,translation_16_up,test_02230,8,ship,0.922558
resnet50_linear,translation_16_up,test_03163,2,car,0.9722858
resnet50_linear,translation_16_up,test_00545,6,horse,0.95542204
resnet50_linear,translation_16_up,test_03863,5,dog,0.9761268
resnet50_linear,translation_16_up,test_04748,7,monkey,0.9684083
resnet50_linear,translation_16_up,test_02399,4,deer,0.96988463
resnet50_linear,translation_16_up,test_04341,6,horse,0.9628528
resnet50_linear,translation_16_up,test_03078,4,deer,0.97793823
resnet50_linear,translation_16_up,test_03763,4,deer,0.9683384
resnet50_linear,translation_16_up,test_02958,6,horse,0.97358775
resnet50_linear,translation_16_up,test_06381,6,horse,0.96497
resnet50_linear,translation_16_up,test_01640,8,ship,0.9279996
resnet50_linear,translation_16_up,test_01783,8,ship,0.96596766
resnet50_linear,translation_16_up,test_03914,3,cat,0.97431904
resnet50_linear,translation_16_up,test_01534,6,horse,0.92720985
resnet50_linear,translation_16_up,test_00685,5,dog,0.9724452
resnet50_linear,translation_16_up,test_04617,0,airplane,0.9709362
resnet50_linear,translation_16_up,test_05508,9,truck,0.9692522
resnet50_linear,translation_16_up,test_01022,9,truck,0.9594296
resnet50_linear,translation_16_up,test_01230,1,bird,0.93635315
resnet50_linear,translation_16_up,test_07475,4,deer,0.9254389
resnet50_linear,translation_16_up,test_05756,2,car,0.97113144
resnet50_linear,translation_16_up,test_03122,4,deer,0.9249435
resnet50_linear,translation_16_up,test_07202,1,bird,0.93706286
resnet50_linear,translation_16_up,test_04723,9,truck,0.8735834
resnet50_linear,translation_16_up,test_01552,5,dog,0.97344
resnet50_linear,translation_16_up,test_00603,9,truck,0.97112584
resnet50_linear,translation_16_up,test_02861,3,cat,0.93302774
resnet50_linear,translation_16_up,test_06426,2,car,0.98129064
resnet50_linear,translation_16_up,test_07864,4,deer,0.9720204
resnet50_linear,translation_16_up,test_05729,6,horse,0.9601284
resnet50_linear,translation_16_up,test_07474,5,dog,0.9791442
resnet50_linear,translation_16_up,test_04298,1,bird,0.97476983
resnet50_linear,translation_16_up,test_01175,0,airplane,0.9823944
resnet50_linear,translation_16_up,test_03454,2,car,0.9667145
resnet50_linear,translation_16_up,test_02754,3,cat,0.9064769
resnet50_linear,translation_16_up,test_00855,4,deer,0.9333194
resnet50_linear,translation_16_up,test_02854,7,monkey,0.95859915
resnet50_linear,translation_16_up,test_05092,1,bird,0.9572779
resnet50_linear,translation_16_up,test_05590,9,truck,0.94753844
resnet50_linear,translation_16_up,test_04463,3,cat,0.8838304
resnet50_linear,translation_16_up,test_05318,2,car,0.94782954
resnet50_linear,translation_16_up,test_03515,6,horse,0.968367
resnet50_linear,translation_16_up,test_04642,4,deer,0.9714569
resnet50_linear,translation_16_up,test_00852,9,truck,0.95383066
resnet50_linear,translation_16_up,test_01247,8,ship,0.9488893
resnet50_linear,translation_16_up,test_07084,2,car,0.9725493
resnet50_linear,translation_16_up,test_05301,9,truck,0.9688744
resnet50_linear,translation_16_up,test_05082,6,horse,0.9828664
resnet50_linear,translation_16_up,test_05077,4,deer,0.9761037
resnet50_linear,translation_16_up,test_01563,3,cat,0.9458328
resnet50_linear,translation_16_up,test_00029,7,monkey,0.9437771
resnet50_linear,translation_16_up,test_03867,7,monkey,0.9392792
resnet50_linear,translation_16_up,test_04620,6,horse,0.90595704
resnet50_linear,translation_16_up,test_04065,2,car,0.9068452
resnet50_linear,translation_16_up,test_01095,5,dog,0.95863026
resnet50_linear,translation_16_up,test_04229,3,cat,0.96039975
resnet50_linear,translation_16_up,test_03562,3,cat,0.94982255
resnet50_linear,translation_16_up,test_02342,8,ship,0.9663297
resnet50_linear,translation_16_up,test_01667,6,horse,0.9596302
resnet50_linear,translation_16_up,test_07033,1,bird,0.9733338
resnet50_linear,translation_16_up,test_01771,7,monkey,0.963387
resnet50_linear,translation_16_up,test_03157,8,ship,0.95583916
resnet50_linear,translation_16_up,test_03851,3,cat,0.9582763
resnet50_linear,translation_16_up,test_01287,7,monkey,0.96870077
resnet50_linear,translation_16_up,test_07320,0,airplane,0.9595725
resnet50_linear,translation_16_up,test_07600,6,horse,0.94559777
resnet50_linear,translation_16_up,test_03852,5,dog,0.93256325
resnet50_linear,translation_16_up,test_00269,7,monkey,0.95531243
resnet50_linear,translation_16_up,test_01703,7,monkey,0.93768805
resnet50_linear,translation_16_up,test_07776,5,dog,0.92357475
resnet50_linear,translation_16_up,test_03891,4,deer,0.9644282
resnet50_linear,translation_16_up,test_07009,0,airplane,0.9694013
resnet50_linear,translation_16_up,test_04893,0,airplane,0.96860653
resnet50_linear,translation_16_up,test_02351,9,truck,0.9682444
resnet50_linear,translation_16_up,test_03550,1,bird,0.90663743
resnet50_linear,translation_16_up,test_05719,7,monkey,0.9697053
resnet50_linear,translation_16_up,test_01884,7,monkey,0.9128395
resnet50_linear,translation_16_up,test_02898,4,deer,0.97436154
resnet50_linear,translation_16_up,test_04640,1,bird,0.94439805
resnet50_linear,translation_16_up,test_07610,4,deer,0.9660849
resnet50_linear,translation_16_up,test_01833,8,ship,0.89160925
resnet50_linear,translation_16_up,test_06455,0,airplane,0.964348
resnet50_linear,translation_16_up,test_03893,9,truck,0.97314256
resnet50_linear,translation_16_up,test_04731,6,horse,0.95690155
resnet50_linear,translation_16_up,test_00929,6,horse,0.9380387
resnet50_linear,translation_16_up,test_03962,6,horse,0.96019906
resnet50_linear,translation_16_up,test_03778,3,cat,0.9186248
resnet50_linear,translation_16_up,test_01429,4,deer,0.97189045
resnet50_linear,translation_16_up,test_00049,2,car,0.9838249
resnet50_linear,translation_16_up,test_00276,9,truck,0.9569026
resnet50_linear,translation_16_up,test_06076,1,bird,0.97848207
resnet50_linear,translation_16_up,test_01389,0,airplane,0.8701982
resnet50_linear,translation_16_up,test_03362,2,car,0.9704937
resnet50_linear,translation_16_up,test_00317,2,car,0.9580287
resnet50_linear,translation_16_up,test_04675,0,airplane,0.97583866
resnet50_linear,translation_16_up,test_05924,5,dog,0.9728087
resnet50_linear,translation_16_up,test_00198,1,bird,0.95538795
resnet50_linear,translation_16_up,test_07779,6,horse,0.96819365
resnet50_linear,translation_16_up,test_04054,4,deer,0.9673312
