model_name,condition,identifier,class_id,class_name,cosine_similarity
resnet50_linear,translation_32_left,test_00632,3,cat,0.9112605
resnet50_linear,translation_32_left,test_00131,9,truck,0.90781003
resnet50_linear,translation_32_left,test_07081,7,monkey,0.9096004
resnet50_linear,translation_32_left,test_01836,9,truck,0.9588704
resnet50_linear,translation_32_left,test_06437,0,airplane,0.9441961
resnet50_linear,translation_32_left,test_06609,0,airplane,0.968579
resnet50_linear,translation_32_left,test_03467,7,monkey,0.98335516
resnet50_linear,translation_32_left,test_01401,3,cat,0.9603455
resnet50_linear,translation_32_left,test_01839,2,car,0.9156022
resnet50_linear,translation_32_left,test_04168,3,cat,0.9399817
resnet50_linear,translation_32_left,test_00035,2,car,0.9654809
resnet50_linear,translation_32_left,test_04177,8,ship,0.93065596
resnet50_linear,translation_32_left,test_07270,7,monkey,0.89595294
resnet50_linear,translation_32_left,test_02265,5,dog,0.9396153
resnet50_linear,translation_32_left,test_03288,7,monkey,0.93349403
resnet50_linear,translation_32_left,test_05451,8,ship,0.9688324
resnet50_linear,translation_32_left,test_04023,3,cat,0.9454689
resnet50_linear,translation_32_left,test_00261,1,bird,0.98104405
resnet50_linear,translation_32_left,test_04570,5,dog,0.96827507
resnet50_linear,translation_32_left,test_04966,5,dog,0.9352419
resnet50_linear,translation_32_left,test_07955,1,bird,0.8138268
resnet50_linear,translation_32_left,test_06288,4,deer,0.9216376
resnet50_linear,translation_32_left,test_07810,8,ship,0.9186498
resnet50_linear,translation_32_left,test_01927,7,monkey,0.9212152
resnet50_linear,translation_32_left,test_01871,1,bird,0.95073116
resnet50_linear,translation_32_left,test_06922,5,dog,0.9689417
resnet50_linear,translation_32_left,test_03512,4,deer,0.9567871
resnet50_linear,translation_32_left,test_04754,6,horse,0.951715
resnet50_linear,translation_32_left,test_00714,2,car,0.93250555
resnet50_linear,translation_32_left,test_02191,8,ship,0.9313397
resnet50_linear,translation_32_left,test_04615,0,airplane,0.9631742
resnet50_linear,translation_32_left,test_04662,8,ship,0.96055686
resnet50_linear,translation_32_left,test_05915,9,truck,0.93298537
resnet50_linear,translation_32_left,test_00766,4,deer,0.94678223
resnet50_linear,translation_32_left,test_05218,2,car,0.9834229
resnet50_linear,translation_32_left,test_02340,8,ship,0.9891177
resnet50_linear,translation_32_left,test_01954,8,ship,0.85642034
resnet50_linear,translation_32_left,test_07875,8,ship,0.9156773
resnet50_linear,translation_32_left,test_03418,6,horse,0.9562289
resnet50_linear,translation_32_left,test_05572,9,truck,0.9399616
resnet50_linear,translation_32_left,test_05977,7,monkey,0.8294898
resnet50_linear,translation_32_left,test_05123,1,bird,0.96936685
resnet50_linear,translation_32_left,test_05851,9,truck,0.9715431
resnet50_linear,translation_32_left,test_04094,9,truck,0.9604098
resnet50_linear,translation_32_left,test_04254,6,horse,0.91558474
resnet50_linear,translation_32_left,test_02501,7,monkey,0.96862096
resnet50_linear,translation_32_left,test_06938,1,bird,0.9647979
resnet50_linear,translation_32_left,test_00171,4,deer,0.8934252
resnet50_linear,translation_32_left,test_04215,3,cat,0.8243375
resnet50_linear,translation_32_left,test_05705,8,ship,0.9517494
resnet50_linear,translation_32_left,test_03458,4,deer,0.9516179
resnet50_linear,translation_32_left,test_01220,7,monkey,0.8830203
resnet50_linear,translation_32_left,test_00962,8,ship,0.97712934
resnet50_linear,translation_32_left,test_02950,5,dog,0.95552415
resnet50_linear,translation_32_left,test_02623,5,dog,0.8699737
resnet50_linear,translation_32_left,test_04539,0,airplane,0.92371774
resnet50_linear,translation_32_left,test_01553,0,airplane,0.9688505
resnet50_linear,translation_32_left,test_04740,4,deer,0.96163464
resnet50_linear,translation_32_left,test_06844,0,airplane,0.96742404
resnet50_linear,translation_32_left,test_02668,7,monkey,0.9421165
resnet50_linear,translation_32_left,test_03153,7,monkey,0.96434623
resnet50_linear,translation_32_left,test_05135,4,deer,0.91071224
resnet50_linear,translation_32_left,test_02291,3,cat,0.9108526
resnet50_linear,translation_32_left,test_00116,1,bird,0.8485317
resnet50_linear,translation_32_left,test_07797,3,cat,0.8899239
resnet50_linear,translation_32_left,test_04609,3,cat,0.8868054
resnet50_linear,translation_32_left,test_00081,0,airplane,0.91638696
resnet50_linear,translation_32_left,test_05580,6,horse,0.91894966
resnet50_linear,translation_32_left,test_03024,2,car,0.8878588
resnet50_linear,translation_32_left,test_02766,5,dog,0.9628941
resnet50_linear,translation_32_left,test_05000,8,ship,0.97703
resnet50_linear,translation_32_left,test_02610,6,horse,0.9015262
resnet50_linear,translation_32_left,test_02024,0,airplane,0.9403289
resnet50_linear,translation_32_left,test_06097,4,deer,0.96326
resnet50_linear,translation_32_left,test_00964,6,horse,0.9613955
resnet50_linear,translation_32_left,test_07634,0,airplane,0.9581935
resnet50_linear,translation_32_left,test_06434,8,ship,0.926996
resnet50_linear,translation_32_left,test_05183,2,car,0.9861638
resnet50_linear,translation_32_left,test_06986,0,airplane,0.95544606
resnet50_linear,translation_32_left,test_00645,5,dog,0.9285197
resnet50_linear,translation_32_left,test_03347,0,airplane,0.93315053
resnet50_linear,translation_32_left,test_05677,2,car,0.9444277
resnet50_linear,translation_32_left,test_03412,8,ship,0.97295356
