model_name,condition,identifier,class_id,class_name,cosine_similarity
vit_b_16_linear,cue_conflict,cc_000,0,airplane,0.034387182
vit_b_16_linear,cue_conflict,cc_001,0,airplane,0.15639156
vit_b_16_linear,cue_conflict,cc_002,0,airplane,0.29120904
vit_b_16_linear,cue_conflict,cc_003,0,airplane,0.4394442
vit_b_16_linear,cue_conflict,cc_004,0,airplane,0.21134278
vit_b_16_linear,cue_conflict,cc_005,0,airplane,0.4760148
vit_b_16_linear,cue_conflict,cc_006,0,airplane,0.24394707
vit_b_16_linear,cue_conflict,cc_007,0,airplane,0.045093134
vit_b_16_linear,cue_conflict,cc_008,0,airplane,0.22774512
vit_b_16_linear,cue_conflict,cc_009,0,airplane,0.34317106
vit_b_16_linear,cue_conflict,cc_010,0,airplane,0.6261199
vit_b_16_linear,cue_conflict,cc_011,0,airplane,0.16261365
vit_b_16_linear,cue_conflict,cc_012,0,airplane,0.36716723
vit_b_16_linear,cue_conflict,cc_013,0,airplane,0.32480484
vit_b_16_linear,cue_conflict,cc_014,0,airplane,0.25405848
vit_b_16_linear,cue_conflict,cc_015,0,airplane,0.3521345
vit_b_16_linear,cue_conflict,cc_016,0,airplane,0.33457837
vit_b_16_linear,cue_conflict,cc_017,0,airplane,0.18381172
vit_b_16_linear,cue_conflict,cc_018,0,airplane,0.5259834
vit_b_16_linear,cue_conflict,cc_019,0,airplane,0.504988
vit_b_16_linear,cue_conflict,cc_020,0,airplane,0.1463541
vit_b_16_linear,cue_conflict,cc_021,0,airplane,0.18268564
vit_b_16_linear,cue_conflict,cc_022,0,airplane,0.70676976
vit_b_16_linear,cue_conflict,cc_023,0,airplane,0.08568558
vit_b_16_linear,cue_conflict,cc_024,0,airplane,0.37146467
vit_b_16_linear,cue_conflict,cc_025,0,airplane,0.21378216
vit_b_16_linear,cue_conflict,cc_026,0,airplane,0.08526884
vit_b_16_linear,cue_conflict,cc_027,0,airplane,0.53460187
vit_b_16_linear,cue_conflict,cc_028,0,airplane,0.05315401
vit_b_16_linear,cue_conflict,cc_029,0,airplane,0.16070426
vit_b_16_linear,cue_conflict,cc_030,1,bird,0.7731973
vit_b_16_linear,cue_conflict,cc_031,1,bird,0.6021751
vit_b_16_linear,cue_conflict,cc_032,1,bird,0.127794
vit_b_16_linear,cue_conflict,cc_033,1,bird,0.23422922
vit_b_16_linear,cue_conflict,cc_034,1,bird,0.15270288
vit_b_16_linear,cue_conflict,cc_035,1,bird,0.36888295
vit_b_16_linear,cue_conflict,cc_036,1,bird,0.5396179
vit_b_16_linear,cue_conflict,cc_038,1,bird,0.1784693
vit_b_16_linear,cue_conflict,cc_039,1,bird,0.30179352
vit_b_16_linear,cue_conflict,cc_040,1,bird,0.60749084
vit_b_16_linear,cue_conflict,cc_041,1,bird,0.49278
vit_b_16_linear,cue_conflict,cc_042,1,bird,0.32018757
vit_b_16_linear,cue_conflict,cc_043,1,bird,0.64905417
vit_b_16_linear,cue_conflict,cc_044,1,bird,0.07222618
