model_name,condition,identifier,class_id,class_name,cosine_similarity
vit_b_16_linear,grayscale,test_00632,3,cat,0.8245877
vit_b_16_linear,grayscale,test_00131,9,truck,0.79377544
vit_b_16_linear,grayscale,test_07081,7,monkey,0.83943576
vit_b_16_linear,grayscale,test_01836,9,truck,0.79179716
vit_b_16_linear,grayscale,test_06437,0,airplane,0.91169876
vit_b_16_linear,grayscale,test_06609,0,airplane,0.7838002
vit_b_16_linear,grayscale,test_03467,7,monkey,0.46823257
vit_b_16_linear,grayscale,test_01401,3,cat,0.66728854
vit_b_16_linear,grayscale,test_01839,2,car,0.936435
vit_b_16_linear,grayscale,test_04168,3,cat,0.46414715
vit_b_16_linear,grayscale,test_00035,2,car,0.5595711
vit_b_16_linear,grayscale,test_04177,8,ship,0.69813794
vit_b_16_linear,grayscale,test_07270,7,monkey,0.66784674
vit_b_16_linear,grayscale,test_02265,5,dog,0.6609156
vit_b_16_linear,grayscale,test_03288,7,monkey,0.70429116
vit_b_16_linear,grayscale,test_05451,8,ship,0.64981145
vit_b_16_linear,grayscale,test_04023,3,cat,0.69133896
vit_b_16_linear,grayscale,test_00261,1,bird,0.8795042
vit_b_16_linear,grayscale,test_04570,5,dog,0.7765777
vit_b_16_linear,grayscale,test_04966,5,dog,0.78270954
vit_b_16_linear,grayscale,test_07955,1,bird,0.7268343
vit_b_16_linear,grayscale,test_06288,4,deer,0.7206974
vit_b_16_linear,grayscale,test_07810,8,ship,0.8206284
vit_b_16_linear,grayscale,test_01927,7,monkey,0.89752495
vit_b_16_linear,grayscale,test_01871,1,bird,0.7808137
vit_b_16_linear,grayscale,test_06922,5,dog,0.76313525
vit_b_16_linear,grayscale,test_03512,4,deer,0.6509891
vit_b_16_linear,grayscale,test_04754,6,horse,0.66683394
vit_b_16_linear,grayscale,test_00714,2,car,0.7154652
vit_b_16_linear,grayscale,test_02191,8,ship,0.5897533
vit_b_16_linear,grayscale,test_04615,0,airplane,0.8200706
vit_b_16_linear,grayscale,test_04662,8,ship,0.82254446
vit_b_16_linear,grayscale,test_05915,9,truck,0.46891022
vit_b_16_linear,grayscale,test_00766,4,deer,0.6797537
vit_b_16_linear,grayscale,test_05218,2,car,0.8401598
vit_b_16_linear,grayscale,test_02340,8,ship,0.78078866
vit_b_16_linear,grayscale,test_01954,8,ship,0.7169176
vit_b_16_linear,grayscale,test_07875,8,ship,0.5908478
vit_b_16_linear,grayscale,test_03418,6,horse,0.8234522
vit_b_16_linear,grayscale,test_05572,9,truck,0.79043144
vit_b_16_linear,grayscale,test_05977,7,monkey,0.84699345
vit_b_16_linear,grayscale,test_05123,1,bird,0.6677082
vit_b_16_linear,grayscale,test_05851,9,truck,0.9339136
vit_b_16_linear,grayscale,test_04094,9,truck,0.7660352
vit_b_16_linear,grayscale,test_04254,6,horse,0.6715167
vit_b_16_linear,grayscale,test_02501,7,monkey,0.7686093
vit_b_16_linear,grayscale,test_06938,1,bird,0.8283005
vit_b_16_linear,grayscale,test_00171,4,deer,0.83061755
vit_b_16_linear,grayscale,test_04215,3,cat,0.18892136
vit_b_16_linear,grayscale,test_05705,8,ship,0.58286715
vit_b_16_linear,grayscale,test_03458,4,deer,0.73687583
vit_b_16_linear,grayscale,test_01220,7,monkey,0.6871407
vit_b_16_linear,grayscale,test_00962,8,ship,0.6717782
vit_b_16_linear,grayscale,test_02950,5,dog,0.8206337
vit_b_16_linear,grayscale,test_02623,5,dog,0.35096437
vit_b_16_linear,grayscale,test_04539,0,airplane,0.89739186
vit_b_16_linear,grayscale,test_01553,0,airplane,0.80183566
vit_b_16_linear,grayscale,test_04740,4,deer,0.6433875
vit_b_16_linear,grayscale,test_06844,0,airplane,0.8128926
vit_b_16_linear,grayscale,test_02668,7,monkey,0.67811465
vit_b_16_linear,grayscale,test_03153,7,monkey,0.52818745
vit_b_16_linear,grayscale,test_05135,4,deer,0.7202683
vit_b_16_linear,grayscale,test_02291,3,cat,0.59303844
vit_b_16_linear,grayscale,test_00116,1,bird,0.65417624
vit_b_16_linear,grayscale,test_07797,3,cat,0.6468502
vit_b_16_linear,grayscale,test_04609,3,cat,0.715793
vit_b_16_linear,grayscale,test_00081,0,airplane,0.99999994
vit_b_16_linear,grayscale,test_05580,6,horse,0.6457902
vit_b_16_linear,grayscale,test_03024,2,car,0.84819174
vit_b_16_linear,grayscale,test_02766,5,dog,0.909834
vit_b_16_linear,grayscale,test_05000,8,ship,0.785576
vit_b_16_linear,grayscale,test_02610,6,horse,0.71355313
vit_b_16_linear,grayscale,test_02024,0,airplane,0.75210565
vit_b_16_linear,grayscale,test_06097,4,deer,0.6714993
vit_b_16_linear,grayscale,test_00964,6,horse,0.74061775
vit_b_16_linear,grayscale,test_07634,0,airplane,0.89559793
vit_b_16_linear,grayscale,test_06434,8,ship,0.7599232
vit_b_16_linear,grayscale,test_05183,2,car,0.777525
vit_b_16_linear,grayscale,test_06986,0,airplane,0.6985782
vit_b_16_linear,grayscale,test_00645,5,dog,0.6455828
vit_b_16_linear,grayscale,test_03347,0,airplane,0.772646
vit_b_16_linear,grayscale,test_05677,2,car,0.7983692
vit_b_16_linear,grayscale,test_03412,8,ship,0.6356139
vit_b_16_linear,grayscale,test_03937,1,bird,0.71218383
vit_b_16_linear,grayscale,test_00873,6,horse,0.8029678
vit_b_16_linear,grayscale,test_02167,9,truck,0.6894674
vit_b_16_linear,grayscale,test_06490,3,cat,0.86684686
vit_b_16_linear,grayscale,test_00738,3,cat,0.6340491
vit_b_16_linear,grayscale,test_06616,2,car,0.7914106
vit_b_16_linear,grayscale,test_04093,6,horse,0.76070166
vit_b_16_linear,grayscale,test_05788,9,truck,0.78170884
vit_b_16_linear,grayscale,test_07818,8,ship,0.9613747
vit_b_16_linear,grayscale,test_00304,1,bird,0.54428107
vit_b_16_linear,grayscale,test_02082,2,car,0.69932854
vit_b_16_linear,grayscale,test_02746,7,monkey,0.7699104
vit_b_16_linear,grayscale,test_07944,4,deer,0.4737834
vit_b_16_linear,grayscale,test_06689,8,ship,0.64374775
vit_b_16_linear,grayscale,test_02414,9,truck,0.6413096
vit_b_16_linear,grayscale,test_03779,6,horse,0.7917716
vit_b_16_linear,grayscale,test_02095,1,bird,0.7823341
vit_b_16_linear,grayscale,test_07262,0,airplane,0.6409822
vit_b_16_linear,grayscale,test_05694,8,ship,0.9278848
vit_b_16_linear,grayscale,test_07413,5,dog,0.88341427
vit_b_16_linear,grayscale,test_06805,1,bird,0.7435647
vit_b_16_linear,grayscale,test_03446,7,monkey,0.6709391
vit_b_16_linear,grayscale,test_02807,5,dog,0.566406
vit_b_16_linear,grayscale,test_07940,4,deer,0.7576813
vit_b_16_linear,grayscale,test_04172,7,monkey,0.7257291
vit_b_16_linear,grayscale,test_07744,3,cat,0.6994072
vit_b_16_linear,grayscale,test_01586,2,car,0.8220995
vit_b_16_linear,grayscale,test_07999,8,ship,0.672902
vit_b_16_linear,grayscale,test_06349,1,bird,0.5640312
vit_b_16_linear,grayscale,test_06594,1,bird,0.7924106
vit_b_16_linear,grayscale,test_02109,8,ship,0.81741345
vit_b_16_linear,grayscale,test_03079,1,bird,0.46128845
vit_b_16_linear,grayscale,test_02070,1,bird,0.38518602
vit_b_16_linear,grayscale,test_00319,5,dog,0.71467745
vit_b_16_linear,grayscale,test_02888,0,airplane,0.88489103
vit_b_16_linear,grayscale,test_06224,5,dog,0.76743805
vit_b_16_linear,grayscale,test_03353,5,dog,0.7585969
vit_b_16_linear,grayscale,test_06244,2,car,0.73833364
vit_b_16_linear,grayscale,test_04704,7,monkey,0.6668854
vit_b_16_linear,grayscale,test_02427,5,dog,0.8192338
vit_b_16_linear,grayscale,test_07995,9,truck,0.5958532
vit_b_16_linear,grayscale,test_01124,4,deer,0.72849137
vit_b_16_linear,grayscale,test_06733,1,bird,0.7235436
vit_b_16_linear,grayscale,test_02062,9,truck,0.8946137
vit_b_16_linear,grayscale,test_00805,9,truck,0.71018934
vit_b_16_linear,grayscale,test_02028,3,cat,0.6129913
vit_b_16_linear,grayscale,test_02392,2,car,0.73670447
vit_b_16_linear,grayscale,test_03292,6,horse,0.5078745
vit_b_16_linear,grayscale,test_01440,7,monkey,0.7830633
vit_b_16_linear,grayscale,test_01115,1,bird,0.58753616
vit_b_16_linear,grayscale,test_04242,8,ship,0.86753005
vit_b_16_linear,grayscale,test_02230,8,ship,0.60550404
vit_b_16_linear,grayscale,test_03163,2,car,0.7300068
vit_b_16_linear,grayscale,test_00545,6,horse,0.7179069
vit_b_16_linear,grayscale,test_03863,5,dog,0.90373594
vit_b_16_linear,grayscale,test_04748,7,monkey,0.88131684
vit_b_16_linear,grayscale,test_02399,4,deer,0.76104206
vit_b_16_linear,grayscale,test_04341,6,horse,0.6534029
vit_b_16_linear,grayscale,test_03078,4,deer,0.989583
vit_b_16_linear,grayscale,test_03763,4,deer,0.756745
vit_b_16_linear,grayscale,test_02958,6,horse,0.70624137
vit_b_16_linear,grayscale,test_06381,6,horse,0.880177
vit_b_16_linear,grayscale,test_01640,8,ship,0.7795149
vit_b_16_linear,grayscale,test_01783,8,ship,0.69727594
vit_b_16_linear,grayscale,test_03914,3,cat,0.78342366
vit_b_16_linear,grayscale,test_01534,6,horse,0.99559265
vit_b_16_linear,grayscale,test_00685,5,dog,0.6548014
vit_b_16_linear,grayscale,test_04617,0,airplane,0.61107653
vit_b_16_linear,grayscale,test_05508,9,truck,0.8574775
vit_b_16_linear,grayscale,test_01022,9,truck,0.6400532
vit_b_16_linear,grayscale,test_01230,1,bird,0.52402043
vit_b_16_linear,grayscale,test_07475,4,deer,0.6128409
vit_b_16_linear,grayscale,test_05756,2,car,0.97400075
vit_b_16_linear,grayscale,test_03122,4,deer,0.7084555
vit_b_16_linear,grayscale,test_07202,1,bird,0.5213653
vit_b_16_linear,grayscale,test_04723,9,truck,0.78418946
vit_b_16_linear,grayscale,test_01552,5,dog,0.739714
vit_b_16_linear,grayscale,test_00603,9,truck,0.8587464
vit_b_16_linear,grayscale,test_02861,3,cat,0.9999998
vit_b_16_linear,grayscale,test_06426,2,car,0.9613173
vit_b_16_linear,grayscale,test_07864,4,deer,0.7049857
vit_b_16_linear,grayscale,test_05729,6,horse,0.6926782
vit_b_16_linear,grayscale,test_07474,5,dog,0.4176446
vit_b_16_linear,grayscale,test_04298,1,bird,0.91016185
vit_b_16_linear,grayscale,test_01175,0,airplane,0.8958589
vit_b_16_linear,grayscale,test_03454,2,car,0.8860463
vit_b_16_linear,grayscale,test_02754,3,cat,0.6155911
vit_b_16_linear,grayscale,test_00855,4,deer,0.8669071
vit_b_16_linear,grayscale,test_02854,7,monkey,0.5320523
vit_b_16_linear,grayscale,test_05092,1,bird,0.67860883
vit_b_16_linear,grayscale,test_05590,9,truck,0.8103856
vit_b_16_linear,grayscale,test_04463,3,cat,0.84226763
vit_b_16_linear,grayscale,test_05318,2,car,0.69696975
vit_b_16_linear,grayscale,test_03515,6,horse,0.77291626
vit_b_16_linear,grayscale,test_04642,4,deer,0.71377444
vit_b_16_linear,grayscale,test_00852,9,truck,0.8863064
vit_b_16_linear,grayscale,test_01247,8,ship,0.7752173
vit_b_16_linear,grayscale,test_07084,2,car,0.8985823
vit_b_16_linear,grayscale,test_05301,9,truck,0.6967679
vit_b_16_linear,grayscale,test_05082,6,horse,0.54523754
vit_b_16_linear,grayscale,test_05077,4,deer,0.7226216
vit_b_16_linear,grayscale,test_01563,3,cat,0.703922
vit_b_16_linear,grayscale,test_00029,7,monkey,0.9999999
vit_b_16_linear,grayscale,test_03867,7,monkey,0.693703
vit_b_16_linear,grayscale,test_04620,6,horse,0.5985364
vit_b_16_linear,grayscale,test_04065,2,car,0.78968024
vit_b_16_linear,grayscale,test_01095,5,dog,0.8004045
vit_b_16_linear,grayscale,test_04229,3,cat,0.8543505
vit_b_16_linear,grayscale,test_03562,3,cat,0.5686521
vit_b_16_linear,grayscale,test_02342,8,ship,0.79748046
vit_b_16_linear,grayscale,test_01667,6,horse,0.99999994
vit_b_16_linear,grayscale,test_07033,1,bird,0.8162833
vit_b_16_linear,grayscale,test_01771,7,monkey,0.866346
vit_b_16_linear,grayscale,test_03157,8,ship,0.4630795
vit_b_16_linear,grayscale,test_03851,3,cat,0.74192196
vit_b_16_linear,grayscale,test_01287,7,monkey,0.8403827
vit_b_16_linear,grayscale,test_07320,0,airplane,0.6221545
vit_b_16_linear,grayscale,test_07600,6,horse,0.7791308
vit_b_16_linear,grayscale,test_03852,5,dog,0.8449943
vit_b_16_linear,grayscale,test_00269,7,monkey,0.57086897
vit_b_16_linear,grayscale,test_01703,7,monkey,0.5617166
vit_b_16_linear,grayscale,test_07776,5,dog,0.74193853
vit_b_16_linear,grayscale,test_03891,4,deer,0.6566828
vit_b_16_linear,grayscale,test_07009,0,airplane,0.8095741
vit_b_16_linear,grayscale,test_04893,0,airplane,0.8225121
vit_b_16_linear,grayscale,test_02351,9,truck,0.8740955
vit_b_16_linear,grayscale,test_03550,1,bird,0.7741847
vit_b_16_linear,grayscale,test_05719,7,monkey,0.9426418
vit_b_16_linear,grayscale,test_01884,7,monkey,0.8138811
vit_b_16_linear,grayscale,test_02898,4,deer,0.8607451
vit_b_16_linear,grayscale,test_04640,1,bird,0.4571126
vit_b_16_linear,grayscale,test_07610,4,deer,0.766508
vit_b_16_linear,grayscale,test_01833,8,ship,0.8374801
vit_b_16_linear,grayscale,test_06455,0,airplane,0.71841663
vit_b_16_linear,grayscale,test_03893,9,truck,0.71642536
vit_b_16_linear,grayscale,test_04731,6,horse,0.5258823
