model_name,condition,identifier,class_id,class_name,cosine_similarity
vit_b_16_linear,patch_shuffle_4x4,test_00632,3,cat,0.8620202
vit_b_16_linear,patch_shuffle_4x4,test_00131,9,truck,0.5725924
vit_b_16_linear,patch_shuffle_4x4,test_07081,7,monkey,0.77910006
vit_b_16_linear,patch_shuffle_4x4,test_01836,9,truck,0.7243661
vit_b_16_linear,patch_shuffle_4x4,test_06437,0,airplane,0.760496
vit_b_16_linear,patch_shuffle_4x4,test_06609,0,airplane,0.67937833
vit_b_16_linear,patch_shuffle_4x4,test_03467,7,monkey,0.5661296
vit_b_16_linear,patch_shuffle_4x4,test_01401,3,cat,0.6415096
vit_b_16_linear,patch_shuffle_4x4,test_01839,2,car,0.51140314
vit_b_16_linear,patch_shuffle_4x4,test_04168,3,cat,0.5230572
vit_b_16_linear,patch_shuffle_4x4,test_00035,2,car,0.64346915
vit_b_16_linear,patch_shuffle_4x4,test_04177,8,ship,0.49319768
vit_b_16_linear,patch_shuffle_4x4,test_07270,7,monkey,0.8129754
vit_b_16_linear,patch_shuffle_4x4,test_02265,5,dog,0.77065563
vit_b_16_linear,patch_shuffle_4x4,test_03288,7,monkey,0.9234511
vit_b_16_linear,patch_shuffle_4x4,test_05451,8,ship,0.5261476
vit_b_16_linear,patch_shuffle_4x4,test_04023,3,cat,0.692484
vit_b_16_linear,patch_shuffle_4x4,test_00261,1,bird,0.83976823
vit_b_16_linear,patch_shuffle_4x4,test_04570,5,dog,0.71467924
vit_b_16_linear,patch_shuffle_4x4,test_04966,5,dog,0.6956118
vit_b_16_linear,patch_shuffle_4x4,test_07955,1,bird,0.48608857
vit_b_16_linear,patch_shuffle_4x4,test_06288,4,deer,0.63799995
vit_b_16_linear,patch_shuffle_4x4,test_07810,8,ship,0.7544751
vit_b_16_linear,patch_shuffle_4x4,test_01927,7,monkey,0.78008103
vit_b_16_linear,patch_shuffle_4x4,test_01871,1,bird,0.76663935
vit_b_16_linear,patch_shuffle_4x4,test_06922,5,dog,0.5781008
vit_b_16_linear,patch_shuffle_4x4,test_03512,4,deer,0.5811402
vit_b_16_linear,patch_shuffle_4x4,test_04754,6,horse,0.6552068
vit_b_16_linear,patch_shuffle_4x4,test_00714,2,car,0.42966115
vit_b_16_linear,patch_shuffle_4x4,test_02191,8,ship,0.6701846
vit_b_16_linear,patch_shuffle_4x4,test_04615,0,airplane,0.66161597
vit_b_16_linear,patch_shuffle_4x4,test_04662,8,ship,0.7719777
