model_name,condition,identifier,class_id,class_name,cosine_similarity
vit_b_16_linear,translation_8_down,test_00632,3,cat,0.9655163
vit_b_16_linear,translation_8_down,test_00131,9,truck,0.94993174
vit_b_16_linear,translation_8_down,test_07081,7,monkey,0.973453
vit_b_16_linear,translation_8_down,test_01836,9,truck,0.97276634
vit_b_16_linear,translation_8_down,test_06437,0,airplane,0.9647656
vit_b_16_linear,translation_8_down,test_06609,0,airplane,0.9471991
vit_b_16_linear,translation_8_down,test_03467,7,monkey,0.889681
vit_b_16_linear,translation_8_down,test_01401,3,cat,0.9320994
vit_b_16_linear,translation_8_down,test_01839,2,car,0.9698385
vit_b_16_linear,translation_8_down,test_04168,3,cat,0.9456022
vit_b_16_linear,translation_8_down,test_00035,2,car,0.9171736
vit_b_16_linear,translation_8_down,test_04177,8,ship,0.91475016
vit_b_16_linear,translation_8_down,test_07270,7,monkey,0.9558889
vit_b_16_linear,translation_8_down,test_02265,5,dog,0.95595753
vit_b_16_linear,translation_8_down,test_03288,7,monkey,0.97986084
vit_b_16_linear,translation_8_down,test_05451,8,ship,0.95358586
vit_b_16_linear,translation_8_down,test_04023,3,cat,0.9649291
vit_b_16_linear,translation_8_down,test_00261,1,bird,0.9882607
vit_b_16_linear,translation_8_down,test_04570,5,dog,0.9662251
vit_b_16_linear,translation_8_down,test_04966,5,dog,0.94819665
vit_b_16_linear,translation_8_down,test_07955,1,bird,0.96938
vit_b_16_linear,translation_8_down,test_06288,4,deer,0.9644597
vit_b_16_linear,translation_8_down,test_07810,8,ship,0.9454762
vit_b_16_linear,translation_8_down,test_01927,7,monkey,0.98003924
vit_b_16_linear,translation_8_down,test_01871,1,bird,0.96260566
vit_b_16_linear,translation_8_down,test_06922,5,dog,0.94081295
vit_b_16_linear,translation_8_down,test_03512,4,deer,0.9247817
vit_b_16_linear,translation_8_down,test_04754,6,horse,0.9034531
vit_b_16_linear,translation_8_down,test_00714,2,car,0.94486487
vit_b_16_linear,translation_8_down,test_02191,8,ship,0.9412312
vit_b_16_linear,translation_8_down,test_04615,0,airplane,0.9765295
vit_b_16_linear,translation_8_down,test_04662,8,ship,0.97464204
vit_b_16_linear,translation_8_down,test_05915,9,truck,0.91013527
vit_b_16_linear,translation_8_down,test_00766,4,deer,0.9188643
vit_b_16_linear,translation_8_down,test_05218,2,car,0.9712496
vit_b_16_linear,translation_8_down,test_02340,8,ship,0.94277394
vit_b_16_linear,translation_8_down,test_01954,8,ship,0.85156614
vit_b_16_linear,translation_8_down,test_07875,8,ship,0.9615088
vit_b_16_linear,translation_8_down,test_03418,6,horse,0.9825255
vit_b_16_linear,translation_8_down,test_05572,9,truck,0.93722355
vit_b_16_linear,translation_8_down,test_05977,7,monkey,0.982229
vit_b_16_linear,translation_8_down,test_05123,1,bird,0.9659812
vit_b_16_linear,translation_8_down,test_05851,9,truck,0.9840201
vit_b_16_linear,translation_8_down,test_04094,9,truck,0.91562957
vit_b_16_linear,translation_8_down,test_04254,6,horse,0.95552456
