model,condition,accuracy,macro_f1,mean_maximum_confidence
resnet50_linear,clean,0.974,0.973997375247729,0.9691126346588135
vit_b_16_linear,clean,0.976,0.9759378055452604,0.9683453440666199
clip_vit_b_32_linear,clean,0.98,0.9800109951340502,0.17918044328689575
clip_zero_shot,clean,0.976,0.9758325016481624,0.953315794467926
resnet50_linear,grayscale,0.962,0.9620258052412861,0.9548294544219971
vit_b_16_linear,grayscale,0.956,0.9560365704790144,0.963257372379303
clip_vit_b_32_linear,grayscale,0.952,0.9519497894867517,0.1701376587152481
clip_zero_shot,grayscale,0.956,0.95597638627682,0.9344522356987
resnet50_linear,hue_rotation_0.5,0.95,0.9500930498163804,0.9595213532447815
vit_b_16_linear,hue_rotation_0.5,0.946,0.9458697566966539,0.9346619844436646
clip_vit_b_32_linear,hue_rotation_0.5,0.948,0.9472932644985939,0.16576316952705383
clip_zero_shot,hue_rotation_0.5,0.956,0.955756017307924,0.9135620594024658
resnet50_linear,patch_shuffle_4x4,0.892,0.8925274093412318,0.9208328723907471
vit_b_16_linear,patch_shuffle_4x4,0.894,0.8928326020628716,0.9101393818855286
clip_vit_b_32_linear,patch_shuffle_4x4,0.834,0.8323513379758213,0.14528705179691315
clip_zero_shot,patch_shuffle_4x4,0.826,0.8271605093133921,0.8142164349555969
