model,condition,mean_cosine_stability
resnet50_linear,grayscale,0.8003824949264526
vit_b_16_linear,grayscale,0.7312353253364563
clip_vit_b_32_linear,grayscale,0.8872421383857727
resnet50_linear,patch_shuffle_4x4,0.6947986483573914
vit_b_16_linear,patch_shuffle_4x4,0.6328418254852295
clip_vit_b_32_linear,patch_shuffle_4x4,0.7488515973091125
resnet50_linear,cue_conflict,0.3841381072998047
vit_b_16_linear,cue_conflict,0.3927251994609833
clip_vit_b_32_linear,cue_conflict,0.7419805526733398
resnet50_linear,translation_8_averaged,0.9674237221479416
resnet50_linear,translation_16_averaged,0.9505879878997803
resnet50_linear,translation_32_averaged,0.929827094078064
vit_b_16_linear,translation_8_averaged,0.9444220215082169
vit_b_16_linear,translation_16_averaged,0.9754806607961655
vit_b_16_linear,translation_32_averaged,0.9425137639045715
clip_vit_b_32_linear,translation_8_averaged,0.9779809266328812
clip_vit_b_32_linear,translation_16_averaged,0.963206097483635
clip_vit_b_32_linear,translation_32_averaged,0.966032400727272
