model,displacement_pixels,accuracy,prediction_consistency
resnet50_linear,0,0.974,1.0
resnet50_linear,8,0.9735,0.99549999833107
resnet50_linear,16,0.9695,0.9930000007152557
resnet50_linear,32,0.9654999999999999,0.9884999990463257
vit_b_16_linear,0,0.976,1.0
vit_b_16_linear,8,0.9774999999999999,0.9815000146627426
vit_b_16_linear,16,0.975,0.9880000054836273
vit_b_16_linear,32,0.9664999999999999,0.9785000085830688
clip_vit_b_32_linear,0,0.98,1.0
clip_vit_b_32_linear,8,0.9804999999999999,0.9860000014305115
clip_vit_b_32_linear,16,0.9785,0.9815000146627426
clip_vit_b_32_linear,32,0.9694999999999999,0.9794999957084656
clip_zero_shot,0,0.976,1.0
clip_zero_shot,8,0.978,0.9845000058412552
clip_zero_shot,16,0.975,0.9775000065565109
clip_zero_shot,32,0.9644999999999999,0.9775000065565109
