epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,1.1052522325515748,0.86325,0.48473333978652955,0.959,0.9591416600921105
2,0.3096246021986008,0.97775,0.2505891208648682,0.967,0.9670976831095253
3,0.17283935189247132,0.983,0.1795350412130356,0.968,0.9680682289467025
4,0.11937615758180618,0.987,0.1479619402885437,0.968,0.9681308084310164
5,0.09065927374362946,0.98975,0.12846365058422088,0.972,0.9720735932917774
6,0.07169817811250687,0.991,0.1162565370798111,0.972,0.9720735932917774
7,0.05926745301485062,0.993,0.10785198152065277,0.972,0.9720659453690359
8,0.049304618507623674,0.9945,0.1032965335547924,0.971,0.971074618647495
9,0.04216102284193039,0.99575,0.09858691763877869,0.972,0.9720659453690359
10,0.036529725611209866,0.996,0.09510536020994187,0.973,0.9730667204634207
11,0.03186653913557529,0.9975,0.09184752038121223,0.972,0.9720659453690359
12,0.02811598813533783,0.99825,0.08980792823433877,0.973,0.9730667204634207
13,0.02497597047686577,0.998,0.08795781522989272,0.973,0.9730667204634207
14,0.02255894473195076,0.99825,0.08651746302843094,0.974,0.9740469677418799
15,0.020332212164998056,0.99875,0.08548963183164597,0.974,0.9740469677418799
16,0.018361307650804518,0.99925,0.08466172149777412,0.974,0.9740469677418799
17,0.016778296768665314,0.99925,0.08274072596430779,0.974,0.9740469677418799
18,0.01534103611111641,0.9995,0.08253605972230435,0.974,0.9740469677418799
19,0.014165904812514781,0.99925,0.08251729382574559,0.974,0.9740469677418799
