epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.6634463081359864,0.89375,0.204494263112545,0.971,0.9709913248717882
2,0.13434287086129187,0.9815,0.12964806160330772,0.975,0.9750122248774687
3,0.08410875934362412,0.98575,0.10489617490768433,0.976,0.976002766523905
4,0.059921122893691066,0.99075,0.09260108065605163,0.978,0.9779828962566659
5,0.04520402473211289,0.9935,0.08582807920873164,0.977,0.9769718282553423
6,0.035441326439380645,0.99575,0.0812804384380579,0.978,0.9779621007844327
7,0.028084447152912615,0.99825,0.0779107053950429,0.978,0.9779621007844327
8,0.023118559300899507,0.99875,0.07577316767722368,0.979,0.9789626971680555
9,0.019144810184836387,0.99925,0.07382549978420139,0.979,0.9789626971680555
10,0.01638220988214016,0.9995,0.07204801668971778,0.98,0.9799885177659171
11,0.014133354112505913,1.0,0.07183408738672734,0.978,0.9779509663733661
12,0.01219230454415083,1.0,0.07060996011272072,0.979,0.9789822057728754
13,0.010732707962393761,1.0,0.07050014828518034,0.979,0.9789822057728754
14,0.009623309131711721,1.0,0.07006245235353709,0.979,0.9789822057728754
15,0.008566169552505016,1.0,0.06959565250203013,0.98,0.9799871808972535
