epoch,train_total_loss,train_classification_loss,train_alignment_loss,train_mmd_bandwidth,mean_source_validation_accuracy,mean_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.7274966644298317,0.5657351213610835,0.16176154165186435,412.32745283077924,0.9265285124794356,0.9260383123135735,0.9520958083832335,0.9431352972879423,0.8829268292682927,0.8841192277774654,0.9445628997867804,0.9508604118753128
2,0.35680506276523966,0.2249628870596743,0.13184217510060367,317.9529565012353,0.8842339451317346,0.8712539315382742,0.9251497005988024,0.9080687614507393,0.8512195121951219,0.8318902171565368,0.8763326226012793,0.8738028160075465
3,0.26847462336986494,0.14161851562750646,0.126856109015962,248.21097532093015,0.9242504330358473,0.923381654906828,0.9431137724550899,0.9366368723858987,0.9,0.8988586972723088,0.929637526652452,0.9346493950622763
4,0.22960471014818576,0.10671192003636916,0.12289279037051731,201.60828399658203,0.9231402917810954,0.9236920214757571,0.9580838323353293,0.9490253258212311,0.8731707317073171,0.8782769241821072,0.9381663113006397,0.943773814423933
5,0.20374629812108147,0.08470240451841272,0.11904389328426784,164.2601611145541,0.9411770146326516,0.9406788892490617,0.9491017964071856,0.9402498339651887,0.9170731707317074,0.9201884808024628,0.9573560767590619,0.9615983529795339
6,0.1832451921625015,0.07062423865223287,0.1126209538207095,139.64769816602399,0.9508554268030583,0.9514917519986152,0.9790419161676647,0.9748982678094201,0.926829268292683,0.9263158651796608,0.9466950959488273,0.9532611230067649
7,0.1678647803954589,0.05771462771341077,0.11015015280144846,121.1176884643033,0.9339575568297592,0.9365302456892478,0.9670658682634731,0.9631706975427365,0.8902439024390244,0.8967574756691427,0.9445628997867804,0.9496625638558642
8,0.16080802981542724,0.05212144488389166,0.10868658469273494,103.58935850094527,0.9432022740104066,0.9420659757052063,0.9670658682634731,0.9599400447788009,0.9073170731707317,0.9078884404275361,0.9552238805970149,0.9583694419092819
9,0.16343958739541534,0.049153513430307307,0.11428607427156888,85.63037872314453,0.9400817689598702,0.94050245597504,0.9790419161676647,0.9744589616668585,0.8902439024390244,0.8896720413169,0.9509594882729211,0.9573763649413617
10,0.19884438153642875,0.0846951169351864,0.11414926480024289,78.05709154177934,0.9332663810659403,0.9354347275099858,0.9640718562874252,0.9588795978708389,0.8975609756097561,0.9040151303841177,0.9381663113006397,0.9434094542750006
11,0.16162466878692308,0.046292724903736614,0.11533194423740746,65.00678875915006,0.9550370993412832,0.9567394085087186,0.9760479041916168,0.9715428732358303,0.9317073170731708,0.9365530547226825,0.9573560767590619,0.962122297567643
12,0.16316808123364407,0.050876381190127544,0.11229169980073586,56.95241791162736,0.9270738049617132,0.925049814194502,0.9461077844311377,0.9373358627448461,0.8926829268292683,0.8905374527512221,0.9424307036247335,0.947276127087438
13,0.16398486316713512,0.048509303412726544,0.11547555984594883,49.65698185130062,0.9306032482333685,0.9307501768615851,0.9670658682634731,0.9635001162370819,0.8780487804878049,0.8793900358939715,0.9466950959488273,0.9493603784537022
14,0.1615581347837917,0.049185408390740044,0.11237272645673181,43.55928077045669,0.9377841332260851,0.9373535459488139,0.9730538922155688,0.970144022921455,0.9,0.8994278892780062,0.9402985074626866,0.9424887256469805
15,0.16592466082965207,0.059267798160067484,0.10665686313922589,40.607013995830826,0.9214263552566196,0.9186302847368761,0.9550898203592815,0.9480069476172586,0.8560975609756097,0.8520333460548094,0.9530916844349681,0.9558505605385601
16,0.14348868656362224,0.038070048316994794,0.10541863828642756,36.56010075919649,0.9373262212379028,0.9366806595308317,0.9640718562874252,0.9588165066007166,0.8926829268292683,0.8932652398515406,0.9552238805970149,0.9579602321402377
