epoch,train_total_loss,train_classification_loss,train_domain_loss,train_domain_accuracy,train_gradient_reversal_strength,train_gradient_norm,mean_source_validation_accuracy,mean_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,1.0987523213410988,0.45434029900238043,0.6444120249177656,0.784188053292087,0.08260915396485327,13.120527763651987,0.8862688996130158,0.8854420072161204,0.9580838323353293,0.9484535034437187,0.824390243902439,0.8282514145528937,0.8763326226012793,0.879621103651749
2,0.9572854467436799,0.24101974273052734,0.7162657061703185,0.40883192068172824,0.24408614972972462,10.686564871898064,0.8521273849409714,0.8528812249504933,0.907185628742515,0.8903904522074905,0.7707317073170732,0.7799609945242835,0.8784648187633263,0.888292228119706
3,0.8738563417369484,0.17472245286389962,0.6991338890332442,0.4407941726728892,0.39309897089106405,9.250208215071606,0.9230575719952263,0.9242856526070303,0.9550898203592815,0.9478603018004881,0.8780487804878049,0.8834536266660092,0.9360341151385928,0.9415430293545937
4,0.8110133172609867,0.11582999414985484,0.6951833239987365,0.49937679523076767,0.524007064027664,7.555632557879147,0.930540084737696,0.9293520009218715,0.9610778443113772,0.953088277928285,0.8902439024390244,0.8910154418976672,0.9402985074626866,0.9439522829396623
5,0.800750533485005,0.10935194399893139,0.6913985900389843,0.5158475943737559,0.6341237120139294,7.342618138680601,0.9064568351465979,0.9090037425408766,0.9281437125748503,0.9225256396762058,0.8658536585365854,0.8708746291743227,0.9253731343283582,0.933610958772101
6,0.8083407748968173,0.1038757025968137,0.7044650728885944,0.45334759029822475,0.7234125302897559,7.410692690083613,0.9421411065227182,0.9411292092979924,0.9580838323353293,0.9506206776782296,0.9195121951219513,0.9182328232186814,0.9488272921108742,0.9545341269970663
7,0.7797934451164343,0.08081180621381938,0.6989816386475523,0.45637465675926614,0.7936789024079967,6.341745983076911,0.9331009414942022,0.932161247930256,0.9580838323353293,0.9524335442275766,0.9073170731707317,0.9027191561176188,0.9339019189765458,0.9413310434455723
8,0.767224942262356,0.0675541184890922,0.699670822192461,0.44471155202541596,0.8476826612256531,5.698423975043827,0.9402082620343587,0.9383620484062322,0.9580838323353293,0.9490814488570071,0.9073170731707317,0.9059388691430408,0.9552238805970149,0.9600658272186491
9,0.758736797887036,0.06378108760345329,0.6949557104171851,0.4930555702656762,0.8884368416590568,6.102189168015606,0.9259688641854051,0.9244441939653161,0.9610778443113772,0.955141904417021,0.8829268292682927,0.8795769423824262,0.9339019189765458,0.938613735096501
10,0.7489504872733711,0.04826927249320419,0.7006812149133438,0.4464921765984633,0.9187699538520259,5.072497185351502,0.9317426408818434,0.9297072587473082,0.9640718562874252,0.957689937987995,0.8951219512195122,0.8926291565493419,0.9360341151385928,0.9388026817045878
11,0.7582417028581995,0.06390610449260103,0.6943356002497877,0.493500728574064,0.9411150278189243,6.218487474717136,0.9065303995991584,0.9042531748807838,0.9341317365269461,0.9259613945218513,0.8878048780487805,0.8870816389571626,0.8976545842217484,0.8997164911633374
