epoch,train_total_loss,train_classification_loss,mean_source_validation_accuracy,mean_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.46367900031340176,0.46367900031340176,0.8637197911629028,0.8634307679083033,0.9251497005988024,0.9128266502416273,0.8365853658536585,0.8290549689052408,0.8294243070362474,0.8484106845780418
2,0.20346854790312868,0.20346854790312868,0.8946076540039688,0.8943630306845257,0.9221556886227545,0.913846082076702,0.8512195121951219,0.8511095216700344,0.9104477611940298,0.9181334883068407
3,0.1359623912940773,0.1359623912940773,0.9312899293721051,0.9318474869093661,0.9550898203592815,0.950514619433527,0.9048780487804878,0.9031552102702977,0.9339019189765458,0.9418726310242739
4,0.12496818083887681,0.12496818083887681,0.9228921324234883,0.9210745310429544,0.9491017964071856,0.9397442324404004,0.8878048780487805,0.8843988666167465,0.9317697228144989,0.9390804940717168
5,0.07504153446121237,0.07504153446121237,0.9420876381305723,0.9400823188010742,0.9670658682634731,0.959265811587793,0.9146341463414634,0.9124889960433283,0.9445628997867804,0.9484921487721011
6,0.09326624939005233,0.09326624939005233,0.9259688641854051,0.9248543897496418,0.9610778443113772,0.954970844447352,0.8829268292682927,0.8782316238707285,0.9339019189765458,0.9413607009308452
7,0.06033992084183752,0.06033992084183752,0.908764871837271,0.9096287408109524,0.9341317365269461,0.9207861745431553,0.8902439024390244,0.893869652046851,0.9019189765458422,0.9142303958428507
8,0.0831615017012108,0.0831615017012108,0.9328624772401217,0.9337852293914816,0.9640718562874252,0.9590949106915494,0.9048780487804878,0.9048765743198726,0.929637526652452,0.9373842031630224
9,0.051488034181151554,0.051488034181151554,0.9255357089658635,0.9261987075780039,0.9491017964071856,0.9418458366225375,0.9,0.9060050243367509,0.9275053304904051,0.930745261774723
10,0.05277135289765687,0.05277135289765687,0.929376641173942,0.9257575407380335,0.9520958083832335,0.9443605122035932,0.9,0.8929087789203438,0.9360341151385928,0.9400033310901634
