epoch,train_total_loss,train_classification_loss,train_alignment_loss,train_mmd_bandwidth,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.994272958009671,0.6358725139473238,0.3584004387132123,0.05887666123155027,0.8323975274787156,0.8108109100715691,0.7780487804878049,0.7654886177131631,0.9131736526946108,0.8879608380838903,0.7780487804878049,0.7654886177131631,0.8059701492537313,0.7789832744176539
2,0.8029598476540329,0.47340084599633503,0.329559000256734,0.002062033254177604,0.8110501032362443,0.8077808934263202,0.7024390243902439,0.7053156061753668,0.9311377245508982,0.9236343704961314,0.7024390243902439,0.7053156061753668,0.7995735607675906,0.7943927036074624
3,0.7573784826657711,0.4311898288945866,0.32618865109661704,0.0008370948841737615,0.8749748721393346,0.8704792591563768,0.8439024390243902,0.8448028062455039,0.9281437125748503,0.915062448007529,0.8439024390243902,0.8448028062455039,0.8528784648187633,0.8515725232160977
4,0.7515280577871535,0.41758688520162535,0.33394116984728056,0.0004905587591829861,0.8778614075608728,0.8762485805231807,0.824390243902439,0.8213941013172533,0.937125748502994,0.9320868563349766,0.824390243902439,0.8213941013172533,0.8720682302771855,0.875264783917312
5,0.754153959835187,0.4233253254260645,0.3308286311534735,0.00029865873459021113,0.6315590878672215,0.6055508909169025,0.6119402985074627,0.5831446847409926,0.6437125748502994,0.6283068299783681,0.6390243902439025,0.6052011580313467,0.6119402985074627,0.5831446847409926
6,0.7765685678419904,0.4501127543516903,0.3264558117231752,0.00031886669161876774,0.8139857785079899,0.8087853534974235,0.7634146341463415,0.7842749925176903,0.8832335329341318,0.8541716585955089,0.7634146341463415,0.7842749925176903,0.7953091684434968,0.7879094093790714
7,0.716608877811167,0.38469223176630646,0.33191664370461404,0.00024094955006148666,0.8738648969677266,0.8707230000315757,0.8528784648187633,0.8558150428160872,0.9101796407185628,0.8995306746558123,0.8585365853658536,0.8558150428160872,0.8528784648187633,0.8568232826228276
8,0.7747598562994574,0.4468407964485132,0.32791905633659446,0.00016331978395489705,0.9131067834687897,0.908149413392563,0.8682926829268293,0.8643519190997989,0.937125748502994,0.9243387722367004,0.8682926829268293,0.8643519190997989,0.9339019189765458,0.9357575488411897
9,0.7347985297186762,0.409827107993456,0.3249714187322519,0.0001254439955359846,0.7835202962425037,0.7659617688156772,0.7292682926829268,0.7016768187292485,0.8473053892215568,0.8363397492175106,0.7292682926829268,0.7016768187292485,0.7739872068230277,0.7598687385002724
10,0.7620803494101915,0.43812432831837833,0.32395602100425297,0.00011404725214211234,0.9083114544741709,0.9023640928665101,0.848780487804878,0.8495833805042674,0.9401197604790419,0.9285233732461198,0.848780487804878,0.8495833805042674,0.9360341151385928,0.9289855248491433
11,0.6880729502847052,0.3781817872156827,0.30989116347498363,0.00010875090392956682,0.7977595280083133,0.7899272932735603,0.7121951219512195,0.7149909185083555,0.8772455089820359,0.8542095070396957,0.7121951219512195,0.7149909185083555,0.8038379530916845,0.8005814542726296
12,0.7745297984817089,0.4416580586674281,0.33287174012671167,9.150621685370829e-05,0.847478105311038,0.8247025444142437,0.775609756097561,0.7497715966498778,0.8862275449101796,0.8567259401598556,0.775609756097561,0.7497715966498778,0.8805970149253731,0.8676100964329979
13,0.7339100179891301,0.41973172071286374,0.3141782972165662,9.792293823345537e-05,0.8762210354889577,0.8735829421593365,0.8292682926829268,0.8281519968813632,0.9401197604790419,0.930520486891005,0.8292682926829268,0.8281519968813632,0.8592750533049041,0.862076342705641
