epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.09997532801828658,2.016018902672662,0.28286666666666666,1.6242603748321534,0.3872,0.352995307718142
2,0.09990133642141358,1.460781674808926,0.4600666666666667,1.3226759775161743,0.5234,0.5209723894910069
3,0.099778098230154,1.1842062362247043,0.5719333333333333,1.1205035608291627,0.5922,0.5944271151091521
4,0.0996057350657239,0.9789686189757453,0.6528222222222222,0.9923739934921265,0.658,0.6511708002368357
5,0.09938441702975688,0.8294588960011801,0.7091111111111111,0.9295840171813965,0.6894,0.6920322096866076
6,0.09911436253643444,0.7103064154413011,0.7529777777777777,0.722392396736145,0.7552,0.7582893424376921
7,0.09879583809693737,0.6261488043149313,0.7837555555555555,0.7632815458297729,0.7322,0.734534778636387
8,0.09842915805643156,0.5811788582801819,0.7998,0.6094048894882202,0.791,0.7918892817085756
9,0.09801468428384716,0.5526211073027717,0.8092,0.727333825302124,0.7624,0.7583842003138102
10,0.09755282581475769,0.5203587164878846,0.8208888888888889,0.6587443382263184,0.7762,0.7746329623193879
11,0.09704403844771128,0.5024781737963359,0.8284444444444444,0.8202359996795654,0.7492,0.7502043769053148
12,0.09648882429441258,0.48038251315222846,0.8351111111111111,0.588760955619812,0.7994,0.8000234550138906
13,0.09588773128419906,0.4684308668984307,0.8390222222222222,0.5928828693389893,0.7984,0.7938795750523486
14,0.09524135262330098,0.4611030072848002,0.8423111111111111,0.5141996877670288,0.8332,0.8347866141850977
15,0.0945503262094184,0.43926121527353923,0.8495777777777778,0.5136418229103088,0.8278,0.8270893979619259
16,0.09381533400219319,0.42774447726143733,0.8534222222222222,0.6032081535100937,0.8008,0.8041818697142572
17,0.0930371013501972,0.4192328633043501,0.8588444444444444,0.6396846570968628,0.776,0.7809990863793538
18,0.09221639627510078,0.4074411008834839,0.8607777777777778,0.6611087091445923,0.7872,0.7903758585917956
19,0.09135402871372812,0.40179504488839046,0.8628444444444444,0.5256656246185303,0.8226,0.8223867141860252
20,0.09045084971874741,0.3922154270807902,0.8652,0.5128340382575989,0.8278,0.8290724687190407
